 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79
dreading 3.44787023996e-102 3.9999999995e-102 5.33041517248e-102 4.08600737524e-102 2.8568208176e-102 3.99241730567e-102 7.14282145764e-102 6.49704618706e-102 4.75648931517e-102 3.12499882358e-102 3.85136806104e-102 2.00000476807e-102 4e-102 4.77866136304e-102 9.15759935458e-102 2.44431292712e-102 6.13057733817e-102 3.87625721595e-102 4.34782608696e-102 2.77778166675e-102 3.33856186219e-102 2.90755012314e-102 7.14285713527e-102 2.55794045886e-102 1e-101 3.16854844446e-102 1.5873015873e-102 2.07830891178e-102 3.15737371957e-102 2.93251234396e-102 2.44351283631e-102 0.0349567534596 5.27418501171e-102 1.00163817578e-101 2.77857830978e-102 3.33348922323e-102 2.89787600109e-102 6.65601587497e-102 1.44869647966e-102 2.69242521388e-102 3.10705674339e-102 1.66666666667e-102 3.12653244201e-102 5.93440437625e-102 3.03105345814e-102 1.33181301426e-102 4.29209356314e-102 1.17600751804e-102 3.86400284838e-102 4.77166092936e-102 3.36638972107e-102 4.34782609571e-102 4.14444915132e-102 4.35224960785e-102 4.75787139305e-102 3.33333315745e-102 6.25862204268e-102 3.22298696563e-102 4.32568586067e-102 3.66263432056e-102 1.43404698301e-102 1.83721294055e-102 4.47712864708e-102 3.56519975075e-102 5.26315636368e-102 7.69230748645e-102 2.22264206053e-102 1.40764848763e-101 3.13881267623e-102 1.63996176515e-102 1.79828779633e-102 2.50618170127e-102 1.99807788477e-102 1.39948866568e-102 4.5617349076e-102 3.86129052477e-102 3.33101876378e-102 2.05578450761e-102 6.27917686321e-102 1.88720224145e-102
dream 3.44787023996e-102 3.9999999995e-102 5.33041517248e-102 4.08600737524e-102 2.8568208176e-102 3.99241730567e-102 4.94081798393e-101 6.49704618706e-102 4.75648931517e-102 3.12499882358e-102 3.85136806104e-102 2.00000476807e-102 4e-102 4.77866136304e-102 9.15759935458e-102 2.44431292712e-102 6.13057733817e-102 3.87625721595e-102 4.34782608696e-102 2.77778166675e-102 3.33856186219e-102 2.90755012314e-102 7.14285713527e-102 2.55794045886e-102 1e-101 3.16854844446e-102 1.5873015873e-102 2.07830891178e-102 3.15737371957e-102 2.93251234396e-102 2.44351283631e-102 3.49567534596e-102 5.27418501171e-102 1.00163817578e-101 2.77857830978e-102 3.33348922323e-102 2.89787600109e-102 6.65601587497e-102 1.44869647966e-102 2.69242521388e-102 3.10705674339e-102 1.66666666667e-102 3.12653244201e-102 5.93440437625e-102 3.03105345814e-102 1.33181301426e-102 4.29209356314e-102 1.17600751804e-102 3.86400284838e-102 4.77166092936e-102 3.36638972107e-102 4.34782609571e-102 4.14444915132e-102 4.35224960785e-102 4.75787139305e-102 3.33333315745e-102 6.25862204268e-102 3.22298696563e-102 4.32568586067e-102 4.56926018648e-39 1.43404698301e-102 1.83721294055e-102 4.47712864708e-102 3.56519975075e-102 5.26315636368e-102 7.69230748645e-102 2.22264206053e-102 1.40764848763e-101 3.13881267623e-102 1.63996176515e-102 1.79828779633e-102 2.50618170127e-102 1.99807788477e-102 1.39948866568e-102 4.5617349076e-102 3.86129052477e-102 0.0333101876378 2.05578450761e-102 6.27917686321e-102 1.88720224145e-102
dreams 3.44787023996e-102 3.9999999995e-102 5.33041517248e-102 4.08600737524e-102 2.8568208176e-102 3.99241730567e-102 7.14282145764e-102 6.49704618706e-102 4.75648931517e-102 3.12499882358e-102 3.85136806104e-102 2.00000476807e-102 4e-102 4.77866136304e-102 9.15759935458e-102 2.44431292712e-102 6.13057733817e-102 3.87625721595e-102 4.34782608696e-102 2.77778166675e-102 3.33856186219e-102 2.90755012314e-102 7.14285713527e-102 2.55794045886e-102 1e-101 3.16854844446e-102 1.5873015873e-102 2.07830891178e-102 3.15737371957e-102 2.93251234396e-102 2.44351283631e-102 3.49567534596e-102 5.27418501171e-102 1.00163817578e-101 2.77857830978e-102 3.33348922323e-102 2.89787600109e-102 6.65601587497e-102 1.44869647966e-102 2.69242521388e-102 3.10705674339e-102 1.66666666667e-102 3.12653244201e-102 5.93440437625e-102 3.03105345814e-102 1.33181301426e-102 4.29209356314e-102 1.17600751804e-102 3.86400284838e-102 4.77166092936e-102 3.36638972107e-102 4.34782609571e-102 4.14444915132e-102 4.35224960785e-102 4.75787139305e-102 3.33333315745e-102 6.25862204268e-102 3.22298696563e-102 4.32568586067e-102 3.66263119032e-102 1.43404698301e-102 1.83721294055e-102 4.47712864708e-102 3.56519975075e-102 5.26315636368e-102 7.69230748645e-102 2.22264206053e-102 1.40764848763e-101 3.13881267623e-102 1.63996176515e-102 1.79828779633e-102 2.50618170127e-102 1.99807788477e-102 1.39948866568e-102 4.5617349076e-102 3.86129052477e-102 0.0333101876378 2.05578450761e-102 6.27917686321e-102 1.88720224145e-102
drugs 3.44787023996e-102 3.9999999995e-102 5.33041517248e-102 4.08600737524e-102 2.8568208176e-102 3.99241730567e-102 7.14282145764e-102 6.49704618706e-102 4.75648931517e-102 3.12499882358e-102 3.85136806104e-102 2.00000476807e-102 4e-102 4.77866136304e-102 9.15759935458e-102 2.44431292712e-102 6.13057733817e-102 3.87625721595e-102 4.34782608696e-102 2.77778166675e-102 3.33856186219e-102 2.90755012314e-102 7.14285713527e-102 2.55794045886e-102 1e-101 3.16854844446e-102 1.5873015873e-102 2.07830891178e-102 3.15737371957e-102 2.93251234396e-102 2.44351283631e-102 3.49567534596e-102 5.27418501171e-102 1.00163817578e-101 2.77857830978e-102 3.33348922323e-102 2.89787600109e-102 6.65601587497e-102 1.44869647966e-102 2.69242521388e-102 3.10705674339e-102 1.66666666667e-102 3.12653244201e-102 5.93440437625e-102 3.03105345814e-102 1.33181301426e-102 4.29209356314e-102 1.17600751804e-102 3.86400284838e-102 4.77166092936e-102 3.36638972107e-102 4.34782609571e-102 4.14444915132e-102 4.35224960785e-102 4.75787139305e-102 3.33333315745e-102 6.25862204268e-102 3.22298696563e-102 4.32568586067e-102 3.66263119032e-102 1.43404698301e-102 1.83721294055e-102 4.47712864708e-102 3.56519975075e-102 5.26315636368e-102 7.69230748645e-102 2.22264206053e-102 1.40764848763e-101 3.13881267623e-102 1.63996176515e-102 1.79828779633e-102 2.50618170127e-102 0.0199807788477 1.39948866568e-102 4.5617349076e-102 3.86129052477e-102 3.33101876378e-102 2.05578450761e-102 6.27917686321e-102 1.88720224145e-102
due 3.44787023996e-102 3.9999999995e-102 5.33041517248e-102 4.08600737524e-102 2.8568208176e-102 3.99241730567e-102 7.14282145764e-102 6.49704618706e-102 4.75648931517e-102 3.12499882358e-102 3.85136806104e-102 2.00000476807e-102 4e-102 4.77866136304e-102 9.15759935458e-102 2.44431292712e-102 6.13057733817e-102 3.87625721595e-102 4.34782608696e-102 2.77778166675e-102 3.33856186219e-102 2.90755012314e-102 7.14285713527e-102 2.55794045886e-102 1e-101 3.16854844446e-102 1.5873015873e-102 2.07830891178e-102 3.15737371957e-102 3.04366283707e-102 2.44351283631e-102 3.49567534596e-102 5.27418501171e-102 1.00163817578e-101 2.77857830978e-102 3.33348922323e-102 2.89787600109e-102 6.65601587497e-102 1.44869647966e-102 2.69242521388e-102 3.10705674339e-102 1.66666666667e-102 3.12653244201e-102 5.93440437625e-102 3.03105345814e-102 1.33181301426e-102 4.29209356314e-102 1.17600751804e-102 3.86400284838e-102 4.77166092936e-102 3.36638972107e-102 4.34782609571e-102 4.14444915132e-102 4.35224960785e-102 4.75787139305e-102 3.33333315745e-102 6.25862204268e-102 3.22298696563e-102 4.32568586067e-102 3.66263119032e-102 0.0193322129944 1.83721294055e-102 4.47712864708e-102 3.56519975075e-102 5.26315636368e-102 7.69230748645e-102 2.22264206053e-102 1.40764848763e-101 3.13881267623e-102 1.63996176515e-102 1.79828779633e-102 2.50618170127e-102 1.99807788477e-102 1.39948866568e-102 4.5617349076e-102 3.86129052477e-102 3.33101876378e-102 0.0134019091934 6.27917686321e-102 1.88720224145e-102
dull 3.44787023996e-102 3.9999999995e-102 5.33041517248e-102 4.08600737524e-102 2.8568208176e-102 3.99241730567e-102 7.14282145764e-102 6.49704618706e-102 4.75648931517e-102 3.12499882358e-102 3.85136806104e-102 2.00000476807e-102 4e-102 4.77866136304e-102 9.15759935458e-102 2.44431292712e-102 6.13057733817e-102 3.87625721595e-102 4.34782608696e-102 2.77778166675e-102 3.33856186219e-102 2.90755012314e-102 7.14285713527e-102 2.55794045886e-102 1e-101 3.16854844446e-102 1.5873015873e-102 2.07830891178e-102 3.15737371957e-102 2.93251234396e-102 2.44351283631e-102 3.49567534596e-102 5.27418501171e-102 1.00163817578e-101 2.77857830978e-102 3.33348922323e-102 2.89787600109e-102 6.65601587497e-102 1.44869647966e-102 2.69242521388e-102 3.10705674339e-102 1.66666666667e-102 3.12653244201e-102 5.93440437625e-102 3.03105345814e-102 1.33181301426e-102 4.29209356314e-102 1.17600751804e-102 3.86400284838e-102 4.77166092936e-102 3.36638972107e-102 4.34782609571e-102 4.14444915132e-102 4.35224960785e-102 4.75787139305e-102 3.33333315745e-102 6.25862204268e-102 3.22298696563e-102 4.32568586067e-102 3.66263119032e-102 1.43404698301e-102 1.83721294055e-102 4.47712864708e-102 0.071303995015 5.26315636368e-102 7.69230748645e-102 2.22264206053e-102 1.40764848763e-101 3.13881267623e-102 1.63996176515e-102 1.79828779633e-102 2.50618170127e-102 1.99807788477e-102 1.39948866568e-102 4.5617349076e-102 3.86129052477e-102 3.33101876378e-102 2.05578450761e-102 6.27917686321e-102 1.88720224145e-102
dumb 3.44787023996e-102 3.9999999995e-102 5.33041517248e-102 4.08600737524e-102 2.8568208176e-102 3.99241730567e-102 7.14282145764e-102 6.49704618706e-102 4.75648931517e-102 3.12499882358e-102 3.85136806104e-102 2.00000476807e-102 0.04 4.77866136304e-102 9.15759935458e-102 2.44431292712e-102 6.13057733817e-102 3.87625721595e-102 4.34782608696e-102 2.77778166675e-102 3.33856186219e-102 2.90755012314e-102 7.14285713527e-102 2.55794045886e-102 1e-101 3.16854844446e-102 1.5873015873e-102 2.07830891178e-102 3.15737371957e-102 2.93251234396e-102 2.44351283631e-102 3.49567534596e-102 5.27418501171e-102 1.00163817578e-101 2.77857830978e-102 3.33348922323e-102 2.89787600109e-102 6.65601587497e-102 1.44869647966e-102 2.69242521388e-102 3.10705674339e-102 1.66666666667e-102 3.12653244201e-102 5.93440437625e-102 3.03105345814e-102 1.33181301426e-102 4.29209356314e-102 1.17600751804e-102 3.86400284838e-102 4.77166092936e-102 3.36638972107e-102 4.34782609571e-102 4.14444915132e-102 4.35224960785e-102 4.75787139305e-102 3.33333315745e-102 6.25862204268e-102 3.22298696563e-102 4.44353010556e-102 3.66263119032e-102 1.43404698301e-102 1.83721294055e-102 4.47712864708e-102 3.56519975075e-102 5.26315636368e-102 7.69230748645e-102 2.22264206053e-102 1.40764848763e-101 3.13881267623e-102 1.63996176515e-102 1.79828779633e-102 2.50618170127e-102 1.99807788477e-102 1.39948866568e-102 4.5617349076e-102 3.86129052477e-102 3.33101876378e-102 2.05578450761e-102 6.27917686321e-102 1.88720224145e-102
dwell 3.44787023996e-102 3.9999999995e-102 5.33041517248e-102 4.08600737524e-102 2.8568208176e-102 3.99241730567e-102 7.14282145764e-102 6.49704618706e-102 4.75648931517e-102 3.12499882358e-102 3.85136806104e-102 2.00000476807e-102 4e-102 4.77866136304e-102 9.15759935458e-102 2.44431292712e-102 6.13057733817e-102 3.87625721595e-102 4.34782608696e-102 2.77778166675e-102 3.33856186219e-102 2.90755012314e-102 7.14285713527e-102 2.55794045886e-102 1e-101 3.16854844446e-102 1.5873015873e-102 2.07830891178e-102 3.15737371957e-102 2.93251234396e-102 2.44351283631e-102 3.49567534596e-102 5.27418501171e-102 1.00163817578e-101 2.77857830978e-102 3.33348922323e-102 2.89787600109e-102 6.65601587497e-102 1.44869647966e-102 2.69242521388e-102 3.10705674339e-102 1.66666666667e-102 3.12653244201e-102 5.93440437625e-102 0.0303105345814 1.33181301426e-102 4.29209356314e-102 1.17600751804e-102 3.86400284838e-102 4.77166092936e-102 3.36638972107e-102 4.34782609571e-102 4.14444915132e-102 4.35224960785e-102 4.75787139305e-102 3.33333315745e-102 6.25862204268e-102 3.22298696563e-102 4.32568586067e-102 3.66263119032e-102 1.43404698301e-102 1.83721294055e-102 4.47712864708e-102 3.56519975075e-102 5.26315636368e-102 7.69230748645e-102 2.22264206053e-102 1.40764848763e-101 3.13881267623e-102 1.63996176515e-102 1.79828779633e-102 2.50618170127e-102 1.99807788477e-102 1.39948866568e-102 4.5617349076e-102 3.86129052477e-102 3.33101876378e-102 2.05578450761e-102 6.27917686321e-102 1.88720224145e-102
dying 3.44787023996e-102 3.9999999995e-102 5.33041517248e-102 4.08600737524e-102 2.8568208176e-102 3.99241730567e-102 7.14282145764e-102 6.49704618706e-102 4.75648931517e-102 3.12499882358e-102 3.85136806104e-102 2.00000476807e-102 4e-102 4.77866136304e-102 9.15759935458e-102 2.44431292712e-102 6.13057733817e-102 3.87625721595e-102 4.34782608696e-102 0.0277778166675 3.33856186219e-102 2.90755012314e-102 7.14285713527e-102 2.55794045886e-102 1e-101 3.16854844446e-102 1.5873015873e-102 2.07830891178e-102 3.15737371957e-102 2.93251234396e-102 2.44351283631e-102 3.49567534596e-102 5.27418501171e-102 1.00163817578e-101 2.77857830978e-102 3.33348922323e-102 2.89787600109e-102 6.65601587497e-102 1.44869647966e-102 2.69242521388e-102 3.10705674339e-102 1.66666666667e-102 3.12653244201e-102 5.93440437625e-102 3.03105345814e-102 1.33181301426e-102 4.29209356314e-102 1.17600751804e-102 3.86400284838e-102 4.77166092936e-102 3.36638972107e-102 4.34782609571e-102 4.14444915132e-102 4.35224960785e-102 4.75787139305e-102 3.33333315745e-102 6.25862204268e-102 3.22298696563e-102 4.32568586067e-102 3.66263119032e-102 1.43404698301e-102 1.83721294055e-102 4.47712864708e-102 3.56519975075e-102 5.26315636368e-102 7.69230748645e-102 2.22264206053e-102 1.40764848763e-101 3.13881267623e-102 1.63996176515e-102 1.79828779633e-102 2.50618170127e-102 1.99807788477e-102 1.39948866568e-102 4.5617349076e-102 3.86129052477e-102 3.33101876378e-102 2.05578450761e-102 6.27917686321e-102 1.88720224145e-102
eat 3.44787023996e-102 3.9999999995e-102 5.33041517248e-102 4.08600737524e-102 2.8568208176e-102 3.99241730567e-102 7.14282145764e-102 6.49704618706e-102 4.75648931517e-102 3.12499882358e-102 3.85136806104e-102 2.00000476807e-102 4e-102 4.77866136304e-102 9.15759935458e-102 2.44431292712e-102 6.13057733817e-102 3.87625721595e-102 4.34782608696e-102 2.77778166675e-102 3.33856186219e-102 2.90755012314e-102 7.14285713527e-102 2.55794045886e-102 1e-101 3.16854844446e-102 1.5873015873e-102 2.07830891178e-102 3.15737371957e-102 2.93251234396e-102 2.44351283631e-102 3.49567534596e-102 5.27418501171e-102 1.00163817578e-101 2.77857830978e-102 3.33348922323e-102 2.89787600109e-102 6.65601587497e-102 1.44869647966e-102 0.0269242521388 3.10705674339e-102 1.66666666667e-102 3.12653244201e-102 5.93440437625e-102 3.03105345814e-102 1.33181301426e-102 4.29209356314e-102 1.17600751804e-102 3.86400284838e-102 4.77166092936e-102 3.36638972107e-102 4.34782609571e-102 4.14444915132e-102 4.35224960785e-102 4.75787139305e-102 3.33333315745e-102 6.25862204268e-102 3.22298696563e-102 4.32568586067e-102 3.66263119032e-102 1.43404698301e-102 1.83721294055e-102 4.47712864708e-102 3.56519975075e-102 5.26315636368e-102 7.69230748645e-102 2.2299828952e-102 1.40764848763e-101 3.16031779087e-102 1.63996176515e-102 1.79828779633e-102 2.50618170127e-102 1.99807788477e-102 1.39948866568e-102 4.5617349076e-102 3.86129052477e-102 3.33101876378e-102 2.05578450761e-102 6.27917686321e-102 1.88720224145e-102
edge 3.44787023996e-102 3.9999999995e-102 5.33041517248e-102 4.08600737524e-102 2.8568208176e-102 3.99241730567e-102 7.14282145764e-102 6.49704618706e-102 4.75648931517e-102 3.12499882358e-102 3.85136806104e-102 2.00000476807e-102 4e-102 4.77866136304e-102 9.15759935458e-102 2.44431292712e-102 6.13057733817e-102 3.87625721595e-102 4.34782608696e-102 2.77778166675e-102 3.33856186219e-102 2.90755012314e-102 7.14285713527e-102 0.0255794045886 1e-101 3.16854844446e-102 1.5873015873e-102 2.07830891178e-102 3.15737371957e-102 2.93251234396e-102 2.44351283631e-102 3.49567534596e-102 5.27418501171e-102 1.00163817578e-101 2.77857830978e-102 3.33348922323e-102 2.89787600109e-102 6.65601587497e-102 1.44869647966e-102 2.69242521388e-102 3.10705674339e-102 1.66666666667e-102 3.12653244201e-102 5.93440437625e-102 3.03105345814e-102 1.33181301426e-102 4.29209356314e-102 1.17600751804e-102 3.86400284838e-102 4.77166092936e-102 3.36638972107e-102 4.34782609571e-102 4.14444915132e-102 4.35224960785e-102 4.75787139305e-102 3.33333315745e-102 6.25862204268e-102 3.22298696563e-102 4.32568586067e-102 3.66263119032e-102 1.43404698301e-102 1.83721294055e-102 4.47712864708e-102 3.56519975075e-102 5.26315636368e-102 7.69230748645e-102 2.22264206053e-102 1.40764848763e-101 3.13881267623e-102 1.63996176515e-102 1.79828779633e-102 2.50618170127e-102 1.99807788477e-102 1.39948866568e-102 4.5617349076e-102 3.86129052477e-102 3.33101876378e-102 2.05578450761e-102 6.27917686321e-102 1.88720224145e-102
effect 3.44787023996e-102 3.9999999995e-102 5.33041517248e-102 4.08600737524e-102 2.8568208176e-102 3.99241730567e-102 7.14282145764e-102 6.49704618706e-102 4.75648931517e-102 3.12499882358e-102 3.85136806104e-102 2.00000476807e-102 4e-102 4.77866136304e-102 9.15759935458e-102 2.44431292712e-102 6.13057733817e-102 3.87625721595e-102 4.34782608696e-102 2.77778166675e-102 3.33856186219e-102 2.90755012314e-102 7.14285713527e-102 0.0255794045886 1e-101 3.16854844446e-102 1.5873015873e-102 2.07830891178e-102 3.15737371957e-102 2.93251234396e-102 2.44351283631e-102 3.49567534596e-102 5.27418501171e-102 1.00163817578e-101 2.77857830978e-102 3.33348922323e-102 2.89787600109e-102 6.65601587497e-102 1.44869647966e-102 2.69242521388e-102 3.10705674339e-102 1.66666666667e-102 3.12653244201e-102 5.93440437625e-102 3.03105345814e-102 1.33181301426e-102 4.29209356314e-102 1.17600751804e-102 3.86400284838e-102 4.77166092936e-102 3.36638972107e-102 4.34782609571e-102 4.14444915132e-102 4.35224960785e-102 4.75787139305e-102 3.33333315745e-102 6.25862204268e-102 3.22298696563e-102 4.32568586067e-102 3.66263119032e-102 1.43404698301e-102 1.83721294055e-102 4.47712864708e-102 3.56519975075e-102 5.26315636368e-102 7.69230748645e-102 2.22264206053e-102 1.40764848763e-101 3.13881267623e-102 1.63996176515e-102 1.79828779633e-102 2.50618170127e-102 1.99807788477e-102 1.39948866568e-102 4.5617349076e-102 3.86129052477e-102 3.33101876378e-102 2.05578450761e-102 6.27917686321e-102 1.88720224145e-102
eithers 3.44787023996e-102 3.9999999995e-102 5.33041517248e-102 4.08600737524e-102 2.8568208176e-102 3.99241730567e-102 7.14282145764e-102 6.49704618706e-102 4.75648931517e-102 3.12499882358e-102 3.85136806104e-102 2.00000476807e-102 4e-102 4.77866136304e-102 9.15759935458e-102 2.44431292712e-102 6.13057733817e-102 3.87625721595e-102 4.34782608696e-102 0.0277778166675 3.33856186219e-102 2.90755012314e-102 7.14285713527e-102 2.55794045886e-102 1e-101 3.16854844446e-102 1.5873015873e-102 2.07830891178e-102 3.15737371957e-102 2.93251234396e-102 2.44351283631e-102 3.49567534596e-102 5.27418501171e-102 1.00163817578e-101 2.77857830978e-102 3.33348922323e-102 2.89787600109e-102 6.65601587497e-102 1.44869647966e-102 2.69242521388e-102 3.10705674339e-102 1.66666666667e-102 3.12653244201e-102 5.93440437625e-102 3.03105345814e-102 1.33181301426e-102 4.29209356314e-102 1.17600751804e-102 3.86400284838e-102 4.77166092936e-102 3.36638972107e-102 4.34782609571e-102 4.14444915132e-102 4.35224960785e-102 4.75787139305e-102 3.33333315745e-102 6.25862204268e-102 3.22298696563e-102 4.32568586067e-102 3.66263119032e-102 1.43404698301e-102 1.83721294055e-102 4.47712864708e-102 3.56519975075e-102 5.26315636368e-102 7.69230748645e-102 2.22264206053e-102 1.40764848763e-101 3.13881267623e-102 1.63996176515e-102 1.79828779633e-102 2.50618170127e-102 1.99807788477e-102 1.39948866568e-102 4.5617349076e-102 3.86129052477e-102 3.33101876378e-102 2.05578450761e-102 6.27917686321e-102 1.88720224145e-102
elements 3.44787023996e-102 3.9999999995e-102 5.33041517248e-102 4.08600737524e-102 2.8568208176e-102 3.99241730567e-102 7.14282145764e-102 6.49704618706e-102 4.75648931517e-102 3.12499882358e-102 3.85136806104e-102 2.00000476807e-102 4.15351608895e-102 4.77866136304e-102 9.15759935458e-102 2.44431292712e-102 6.13057733817e-102 3.87625721595e-102 0.0434782608696 2.77778166675e-102 3.33856186219e-102 2.90755012314e-102 7.14285713527e-102 2.55794045886e-102 1e-101 3.16854844446e-102 1.5873015873e-102 2.07830891178e-102 3.15737371957e-102 2.93251234396e-102 2.44351283631e-102 3.49567534596e-102 5.27418501171e-102 1.00163817578e-101 2.77857830978e-102 3.33348922323e-102 2.89787600109e-102 6.65601587497e-102 1.44869647966e-102 2.69242521388e-102 3.10705674339e-102 1.66666666667e-102 3.12653244201e-102 5.93440437625e-102 3.03105345814e-102 1.33181301426e-102 4.29209356314e-102 1.17600751804e-102 3.86400284838e-102 4.77166092936e-102 3.36638972107e-102 4.34782609571e-102 4.14444915132e-102 4.35224960785e-102 4.75787139305e-102 3.33333315745e-102 6.25862204268e-102 3.22298696563e-102 4.32568586067e-102 3.66263119032e-102 1.43404698301e-102 1.83721294055e-102 4.47712864708e-102 3.56519975075e-102 5.26315636368e-102 7.69230748645e-102 2.22264206053e-102 1.40764848763e-101 3.13881267623e-102 1.63996176515e-102 1.79828779633e-102 2.50618170127e-102 1.99807788477e-102 1.39948866568e-102 4.5617349076e-102 3.86129052477e-102 3.33101876378e-102 2.05578450761e-102 6.27917686321e-102 1.88720224145e-102
