 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79
bear 1.2132042857e-102 3.84617848359e-102 8.88381075631e-103 8.33333332607e-102 4.13279478866e-102 5.37527742927e-102 9.12398394718e-103 3.42863115763e-102 7.14489566272e-102 3.85864495161e-102 8.33468656191e-102 4.00000000005e-102 1.04614886128e-102 7.21885908671e-102 1.43605137541e-101 4.56645414979e-102 4.54339366134e-102 0.00895400764916 2.77806730453e-102 3.08302337023e-102 5.05827978879e-102 6.25003461562e-102 4.06840970054e-102 1.6925496681e-102 2.15812943773e-102 6.25000003663e-102 3.83687588532e-102 4.54545454713e-102 1.28998096818e-102 9.08756990151e-102 1.11121609467e-101 1.66666666667e-101 7.11030236302e-102 5.26108585621e-102 7.6714656077e-102 7.20204016354e-102 5.03626190257e-102 2.04939736455e-102 5.24126971734e-102 4.16669101556e-102 4.76190476251e-102 7.1961990417e-102 3.46593163631e-102 4.20246108858e-102 3.90681006822e-102 6.66666381055e-102 6.71814769476e-102 7.393213968e-102 4.15930600702e-102 5.88240146248e-102 1.95191092207e-102 5.57824884926e-102 2.09399362086e-102 1.88677798616e-102 8.1368532938e-102 4.7477674595e-102 3.77019110903e-102 2.11253694417e-102 6.35529917658e-102 4.21141826542e-102 4.34782608696e-102 5.16444416668e-102 3.11887230942e-102 3.02126046225e-102 2.74336772329e-102 3.03030302999e-102 3.5145700209e-102 3.56936311586e-102 1.95779974046e-102 3.12497750192e-102 7.18798350384e-102 4.54531748397e-102 4.03694322491e-102 3.70405517539e-102 9.61879817338e-102 4.34784008264e-102 2.8506760568e-102 2.92783704471e-102 3.12582016823e-102 9.09090909091e-102
bears 0.012132042857 3.84617848359e-102 8.88381075631e-103 8.33333332607e-102 4.13279478866e-102 5.37527742927e-102 9.12398394718e-103 3.42863115763e-102 7.14489566272e-102 3.85864495161e-102 8.33468656191e-102 4.00000000005e-102 1.04614886128e-102 7.21885908671e-102 1.43605137541e-101 4.56645414979e-102 4.54339366134e-102 8.95400764916e-103 2.77806730453e-102 3.08302337023e-102 5.05827978879e-102 6.25003461562e-102 4.06840970054e-102 1.6925496681e-102 2.15812943773e-102 6.25000003663e-102 3.83687588532e-102 4.54545454713e-102 1.28998096818e-102 9.08756990151e-102 1.11121609467e-101 1.66666666667e-101 7.11030236302e-102 5.26108585621e-102 7.6714656077e-102 7.20204016354e-102 5.03626190257e-102 2.04939736455e-102 5.24126971734e-102 0.0416669101556 4.76190476251e-102 7.1961990417e-102 3.46593163631e-102 4.20246108858e-102 3.90681006822e-102 6.66666381055e-102 6.71814769476e-102 7.393213968e-102 4.15930600702e-102 5.88240146248e-102 1.95191092207e-102 5.57824884926e-102 2.09399362086e-102 1.88677798616e-102 8.1368532938e-102 4.7477674595e-102 3.77019110903e-102 2.11253694417e-102 6.35529917658e-102 4.21141826542e-102 4.34782608696e-102 5.16444416668e-102 3.11887230942e-102 3.02126046225e-102 2.74336772329e-102 3.03030302999e-102 3.5145700209e-102 3.56936311586e-102 1.95779974046e-102 3.12497750192e-102 7.18798350384e-102 4.54531748397e-102 4.03694322491e-102 3.70405517539e-102 9.61879817338e-102 4.34784008264e-102 2.8506760568e-102 2.92783704471e-102 3.12582016823e-102 9.09090909091e-102
beated 1.2132042857e-102 3.84617848359e-102 8.88381075631e-103 8.33333332607e-102 4.13279478866e-102 5.37527742927e-102 9.1239839645e-103 3.42863115763e-102 7.14489566272e-102 3.85864495161e-102 8.33468656191e-102 4.00000000005e-102 0.0104614886128 7.21885908671e-102 1.43605137541e-101 4.56645414979e-102 4.54339366134e-102 8.95400764916e-103 2.77806730453e-102 3.08302337023e-102 5.05827978879e-102 6.25003461562e-102 4.06840970054e-102 1.6925496681e-102 2.15812943773e-102 6.25000003663e-102 3.83687588532e-102 4.54545454713e-102 1.28998096818e-102 9.08756990151e-102 1.11121609467e-101 1.66666666667e-101 7.11030236302e-102 5.26108585621e-102 7.6714656077e-102 7.20204016354e-102 5.03626190257e-102 2.04939736455e-102 5.24126971734e-102 4.16669101556e-102 4.76190476251e-102 7.1961990417e-102 3.46593163631e-102 4.20246108858e-102 3.90681006822e-102 6.66666381055e-102 6.71814769476e-102 7.393213968e-102 4.15930600702e-102 5.88240146248e-102 1.95191092207e-102 5.57824884926e-102 2.09399362086e-102 1.88677798616e-102 8.1368532938e-102 4.7477674595e-102 3.77019110903e-102 2.11253694417e-102 6.35529917658e-102 4.21141826542e-102 4.34782608696e-102 5.16444416668e-102 3.11887230942e-102 3.02126046225e-102 2.74336772329e-102 3.03030302999e-102 3.5145700209e-102 3.56936311586e-102 1.95779974046e-102 3.12497750192e-102 7.18798350384e-102 4.54531748397e-102 4.03694322491e-102 3.70405517539e-102 9.61879817338e-102 4.34784008264e-102 2.8506760568e-102 2.92783704471e-102 3.12582016823e-102 9.09090909091e-102
beauteous 1.2132042857e-102 3.84617848359e-102 8.88381075631e-103 8.33333332607e-102 4.13279478866e-102 5.37527742927e-102 9.12398394718e-103 3.42863115763e-102 7.14489566272e-102 3.85864495161e-102 8.33468656191e-102 4.00000000005e-102 1.04614886128e-102 7.21885908672e-102 1.43605137541e-101 4.56645414979e-102 4.54339366134e-102 8.95400764916e-103 2.77806730453e-102 3.08302337023e-102 5.05827978879e-102 6.25003461562e-102 4.06840970054e-102 1.6925496681e-102 2.15812943773e-102 6.25000003663e-102 3.83687588532e-102 4.54545454713e-102 1.28998096818e-102 9.08756990151e-102 1.11121609467e-101 1.66666666667e-101 7.11030236302e-102 5.26108585621e-102 7.6714656077e-102 7.20204016354e-102 5.03626190257e-102 2.04939736455e-102 5.24126971734e-102 4.16669101556e-102 4.76190476251e-102 7.1961990417e-102 3.46593163631e-102 4.20246108858e-102 3.90681006822e-102 6.66666381055e-102 6.71814769476e-102 7.393213968e-102 4.15930600702e-102 5.88240146248e-102 1.95191092207e-102 5.57824884926e-102 2.09399362086e-102 1.88677798616e-102 8.1368532938e-102 4.7477674595e-102 3.77019110903e-102 2.11253694417e-102 6.35529917658e-102 4.21141826542e-102 4.34782608696e-102 5.16444416668e-102 3.11887230942e-102 3.02126046225e-102 2.74336772329e-102 0.0303030302999 3.5145700209e-102 3.56936311586e-102 1.95779974046e-102 3.12497750192e-102 7.18798350384e-102 4.54531748397e-102 4.03694322491e-102 1.20466261873e-84 9.61879817338e-102 4.34784008264e-102 2.8506760568e-102 2.92783704471e-102 3.12582016823e-102 9.09090909091e-102
beauty 1.2132042857e-102 3.84617848359e-102 8.88381075631e-103 8.33333332607e-102 4.13279478866e-102 5.37527742927e-102 9.12398394718e-103 3.42863115763e-102 7.14489566272e-102 3.85864495161e-102 8.33468656191e-102 4.00000000005e-102 1.04614886128e-102 7.21885908671e-102 5.68159210265e-60 4.56645414979e-102 4.54339366134e-102 8.95400764916e-103 2.77806730453e-102 3.08302337023e-102 5.05827978879e-102 6.25003461562e-102 4.06840970054e-102 1.6925496681e-102 2.15812943773e-102 6.25000003663e-102 3.83687588532e-102 4.54545454713e-102 1.28998096818e-102 9.08756990151e-102 1.11121609467e-101 1.66666666667e-101 7.11030236302e-102 5.26108585621e-102 1.20624650594e-06 7.20204016354e-102 5.03626190257e-102 2.04939736455e-102 5.24126971734e-102 4.16669101556e-102 4.76190476251e-102 7.1961990417e-102 3.46593163631e-102 0.11316425021 3.90681006822e-102 6.66666381055e-102 6.71814769476e-102 7.393213968e-102 4.15930600702e-102 5.88240146248e-102 0.0450340063025 5.57824884926e-102 2.09399362086e-102 1.88677798616e-102 8.1368532938e-102 4.7477674595e-102 3.77019110903e-102 2.11253694417e-102 6.35529917658e-102 4.21141826542e-102 4.34782608696e-102 5.16444416668e-102 3.11887230942e-102 3.02126046225e-102 2.74336772329e-102 3.03030302999e-102 3.5145700209e-102 3.56936311586e-102 0.0391559948092 3.12497750192e-102 7.18798350384e-102 4.54531748397e-102 4.03694322491e-102 3.70405517539e-102 6.95633563633e-19 4.34784008264e-102 2.8506760568e-102 2.92783704471e-102 3.12582016823e-102 9.09090909091e-102
beautys 1.2132042857e-102 3.84617848359e-102 8.88381075631e-103 8.33333332607e-102 4.13279478866e-102 5.37527742927e-102 9.12398394718e-103 2.00036463639e-45 7.14489566272e-102 3.85864495161e-102 8.33468656191e-102 4.00000000005e-102 1.04614886128e-102 7.21885908671e-102 1.43605137541e-101 4.56645414979e-102 4.54339366134e-102 8.95400764916e-103 2.58433456795e-53 3.08302337023e-102 5.05827978879e-102 6.25003461562e-102 4.06840970054e-102 1.6925496681e-102 2.15812943773e-102 6.25000003663e-102 3.83687588532e-102 4.54545454713e-102 1.28998096818e-102 9.08756990151e-102 1.11121609467e-101 1.66666666667e-101 7.11030236302e-102 5.26108585621e-102 7.6714656077e-102 7.20204016354e-102 5.03626190257e-102 2.04939736455e-102 5.24126971734e-102 4.16669101556e-102 4.76190476251e-102 0.071961990417 3.46593163631e-102 4.20246108858e-102 3.90681006822e-102 6.66666381055e-102 6.71814769476e-102 7.393213968e-102 4.15930600702e-102 5.88240146248e-102 1.95191092207e-102 5.57824884926e-102 2.09399362086e-102 1.88677798616e-102 8.1368532938e-102 4.7477674595e-102 3.77019110903e-102 2.11253694417e-102 6.35529917658e-102 4.21141826542e-102 4.34782608696e-102 5.16444416668e-102 3.11887230942e-102 3.02126046225e-102 0.0274336772329 3.03030302999e-102 3.5145700209e-102 3.56936311586e-102 1.95779974046e-102 3.12497750192e-102 7.18798350384e-102 4.54531748397e-102 4.03694322491e-102 2.13822653609e-30 9.61879817338e-102 4.34784008264e-102 2.8506760568e-102 2.92783704471e-102 3.12582016823e-102 9.09090909091e-102
been 1.2132042857e-102 3.84617848359e-102 8.88381075631e-103 8.33333332607e-102 4.13279478866e-102 5.37527742927e-102 9.12398394718e-103 3.42863115763e-102 7.14489566272e-102 3.85864495161e-102 8.33468656191e-102 4.00000000005e-102 1.04614886128e-102 7.21885908671e-102 1.43605137541e-101 4.56645414979e-102 4.54339366134e-102 8.95400764916e-103 2.77806730453e-102 3.08302337023e-102 5.05827978879e-102 6.25003461562e-102 4.06840970054e-102 1.6925496681e-102 2.15812943773e-102 6.25000003663e-102 3.83687588532e-102 4.54545454713e-102 1.28998096818e-102 9.08756990151e-102 1.11121609467e-101 1.66666666667e-101 7.11030236302e-102 5.26108585621e-102 7.6714656077e-102 7.20204016354e-102 5.03626190257e-102 2.04939736455e-102 5.24126971734e-102 4.16669101556e-102 4.76190476251e-102 7.1961990417e-102 3.46593163631e-102 4.20246108858e-102 3.90681006822e-102 6.66666381055e-102 6.71814769476e-102 7.393213968e-102 4.15930600702e-102 5.88240146248e-102 1.95191092207e-102 5.57824884926e-102 2.09399362086e-102 1.88677798616e-102 8.1368532938e-102 4.7477674595e-102 3.77019110903e-102 2.11253694417e-102 6.35529917658e-102 4.21141826542e-102 4.34782608696e-102 5.16444416668e-102 3.11887230942e-102 3.02126046225e-102 2.74336772329e-102 3.03030302999e-102 3.5145700209e-102 3.56936311586e-102 1.95779974046e-102 3.12497750192e-102 7.18798350384e-102 4.54531748397e-102 4.03694322491e-102 3.70405517539e-102 9.61879817338e-102 4.34784008264e-102 2.8506760568e-102 0.0292783704471 3.12582016823e-102 9.09090909091e-102
before 1.2132042857e-102 3.84617848359e-102 0.0177676215126 8.33333332607e-102 4.13279478866e-102 5.37527742927e-102 9.12398394718e-103 3.42863115763e-102 7.14489566272e-102 3.85864495161e-102 8.33468656191e-102 4.00000000005e-102 0.0104614886128 7.21885908671e-102 1.43605137541e-101 4.56645414979e-102 4.54339366134e-102 8.95400764916e-103 2.77806730453e-102 3.08302337023e-102 5.05827978879e-102 6.25003461562e-102 4.06840970054e-102 1.6925496681e-102 2.15812943773e-102 6.25000003663e-102 3.83687588532e-102 0.0909090909425 1.28998096818e-102 9.08756990151e-102 1.11121609467e-101 1.66666666667e-101 7.11030236302e-102 5.26108585621e-102 7.6714656077e-102 7.20204016354e-102 5.03626190257e-102 2.04939736455e-102 5.24126971734e-102 4.16669101556e-102 4.76190476251e-102 7.1961990417e-102 3.46593163631e-102 4.20246108858e-102 3.90681006822e-102 6.66666381055e-102 6.71814769476e-102 7.393213968e-102 4.15930600702e-102 5.88240146248e-102 1.95191092207e-102 5.57824884926e-102 2.09399362086e-102 1.88677798616e-102 8.1368532938e-102 4.7477674595e-102 3.77019110903e-102 2.11253694417e-102 6.35529917658e-102 4.21141826542e-102 4.34782608696e-102 5.16444416668e-102 3.11887230942e-102 3.02126046225e-102 2.74336772329e-102 3.03030302999e-102 3.5145700209e-102 3.56936311586e-102 1.95779974046e-102 3.12497750192e-102 7.18798350384e-102 4.54531748397e-102 4.03694322491e-102 3.70405517539e-102 9.61879817338e-102 4.34784008264e-102 2.8506760568e-102 2.92783704471e-102 3.12582016823e-102 9.09090909091e-102
beggared 1.2132042857e-102 3.84617848359e-102 8.88381075631e-103 8.33333332607e-102 4.13279478866e-102 5.37527742927e-102 9.12398421426e-103 3.42863115763e-102 7.14489566272e-102 3.85864495161e-102 8.33468656191e-102 4.00000000005e-102 1.04614886128e-102 7.21885908671e-102 1.43605137541e-101 4.56645414979e-102 4.54339366134e-102 8.95400764916e-103 2.77806730453e-102 3.08302337023e-102 5.05827978879e-102 6.25003461562e-102 4.06840970054e-102 1.6925496681e-102 2.15812943773e-102 6.25000003663e-102 3.83687588532e-102 4.54545454713e-102 1.28998096818e-102 9.08756990151e-102 1.11121609467e-101 1.66666666667e-101 7.11030236302e-102 5.26108585621e-102 7.6714656077e-102 7.20204016354e-102 5.03626190257e-102 2.04939736455e-102 5.24126971734e-102 4.16669101556e-102 4.76190476251e-102 7.1961990417e-102 3.46593163631e-102 4.20246108858e-102 3.90681006822e-102 0.0666666381055 6.71814769476e-102 7.393213968e-102 4.15930600702e-102 5.88240146248e-102 1.95191092207e-102 5.57824884926e-102 2.09399362086e-102 1.88677798616e-102 8.1368532938e-102 4.7477674595e-102 3.77019110903e-102 2.11253694417e-102 6.35529917658e-102 4.21141826542e-102 4.34782608696e-102 5.16444416668e-102 3.11887230942e-102 3.02126046225e-102 2.74336772329e-102 3.03030302999e-102 3.5145700209e-102 3.56936311586e-102 1.95779974046e-102 3.12497750192e-102 7.18798350384e-102 4.54531748397e-102 4.03694322491e-102 3.70405517539e-102 9.61879817338e-102 4.34784008264e-102 2.8506760568e-102 2.92783704471e-102 3.12582016823e-102 9.09090909091e-102
behaviour 1.2132042857e-102 3.84617848359e-102 8.88381075631e-103 8.33333332607e-102 4.13279478866e-102 5.37527742927e-102 9.12398394718e-103 3.42863115773e-102 7.14489566272e-102 3.85864495161e-102 8.33468656191e-102 4.00000000005e-102 1.04614886128e-102 7.21885908671e-102 1.43605137541e-101 4.56645414979e-102 4.54339366134e-102 8.95400764916e-103 2.77806730453e-102 3.08302337023e-102 5.05827978879e-102 6.25003461562e-102 4.06840970054e-102 1.6925496681e-102 2.15812943773e-102 6.25000003663e-102 3.83687588532e-102 4.54545454713e-102 1.28998096818e-102 9.08756990151e-102 1.11121609467e-101 1.66666666667e-101 7.11030236302e-102 5.26108585621e-102 7.6714656077e-102 7.20204016354e-102 5.03626190257e-102 2.04939736455e-102 5.24126971734e-102 4.16669101556e-102 4.76190476251e-102 7.1961990417e-102 3.46593163631e-102 4.20246108858e-102 3.90681006822e-102 6.66666381055e-102 6.71814769476e-102 7.393213968e-102 4.15930600702e-102 5.88240146248e-102 1.95191092207e-102 5.57824884926e-102 0.0209399362086 1.88677798616e-102 8.1368532938e-102 4.7477674595e-102 3.77019110903e-102 2.11253694417e-102 6.35529917658e-102 4.21141826542e-102 4.34782608696e-102 5.16444416668e-102 3.11887230942e-102 3.02126046225e-102 2.74336772329e-102 3.03030302999e-102 3.5145700209e-102 3.56936311586e-102 1.95779974046e-102 3.12497750192e-102 7.18798350384e-102 4.54531748409e-102 4.03694322491e-102 3.70405517539e-102 9.61879817338e-102 4.34784008264e-102 2.8506760568e-102 2.92783704471e-102 3.1258206335e-102 9.09090909091e-102
behind 1.2132042857e-102 3.84617848359e-102 8.88381075631e-103 8.33333332607e-102 4.13279478866e-102 5.37527742927e-102 9.12398394718e-103 3.42863115763e-102 7.14489566272e-102 3.85864495161e-102 8.33468656191e-102 4.00000000005e-102 1.04614886128e-102 7.21885908671e-102 1.43605137541e-101 4.56645414979e-102 4.54339366134e-102 8.95400764916e-103 2.77806730453e-102 3.08302337023e-102 5.05827978879e-102 6.25003461562e-102 4.06840970054e-102 1.6925496681e-102 0.0215812943773 6.25000003663e-102 3.83687588532e-102 4.54545454713e-102 1.28998096818e-102 9.08756990151e-102 1.11121609467e-101 1.66666666667e-101 7.11030236302e-102 5.26108585621e-102 7.6714656077e-102 7.20204016354e-102 5.03626190257e-102 2.04939736455e-102 5.24126971734e-102 4.16669101556e-102 4.76190476251e-102 7.1961990417e-102 3.46593163631e-102 4.20246108858e-102 3.90681006822e-102 6.66666381055e-102 6.71814769476e-102 7.393213968e-102 4.15930600702e-102 5.88240146248e-102 1.95191092207e-102 5.57824884926e-102 2.09399362086e-102 1.88677798616e-102 8.1368532938e-102 4.7477674595e-102 3.77019110903e-102 2.11253694417e-102 0.0635529917658 4.21141826542e-102 4.34782608696e-102 5.16444416668e-102 3.11887230942e-102 3.02126046225e-102 2.74336772329e-102 3.03030302999e-102 3.5145700209e-102 3.56936311586e-102 1.95779974046e-102 3.12497750192e-102 7.18798350384e-102 4.54531748397e-102 4.03694322491e-102 3.70405517539e-102 9.61879817338e-102 4.34784008264e-102 2.8506760568e-102 2.92783704471e-102 3.12582016823e-102 9.09090909091e-102
being 1.2132042857e-102 3.84617848359e-102 8.88381075631e-103 8.33333332607e-102 4.13279478866e-102 5.37527742927e-102 9.12398394718e-103 3.42863115763e-102 7.14489566272e-102 3.85864495161e-102 8.33468656191e-102 0.0400000000005 1.04614886128e-102 7.21885908671e-102 1.43605137541e-101 4.56645414979e-102 4.54339366134e-102 8.95400764916e-103 2.77806730453e-102 3.08302337023e-102 5.05827978879e-102 6.25003461562e-102 4.06840970054e-102 1.6925496681e-102 2.15812943773e-102 6.25000003663e-102 3.83687588532e-102 4.54545454713e-102 1.28998096818e-102 9.08756990151e-102 1.11121609467e-101 1.66666666667e-101 7.11030236302e-102 5.26108585621e-102 7.6714656077e-102 7.20204016354e-102 5.03626190257e-102 2.04939736455e-102 5.24126971734e-102 4.16669101556e-102 4.76190476251e-102 7.1961990417e-102 3.46593163631e-102 4.20246108858e-102 3.90681006822e-102 6.66666381055e-102 6.71814769476e-102 7.393213968e-102 4.15930600702e-102 5.88240146248e-102 1.95191092207e-102 5.57824884926e-102 2.09399362086e-102 1.88677798616e-102 8.1368532938e-102 4.7477674595e-102 3.77019110903e-102 2.11253694417e-102 6.35529917658e-102 4.21141826542e-102 4.34782608696e-102 5.16444416668e-102 3.11887230942e-102 3.02126046225e-102 2.74336772329e-102 3.03030302999e-102 3.5145700209e-102 3.56936311586e-102 0.0587339922138 3.12497750192e-102 7.18798350384e-102 4.54531748397e-102 4.03694322491e-102 3.70405517539e-102 9.61879817338e-102 4.34784008264e-102 2.8506760568e-102 2.92783704471e-102 3.12582016823e-102 9.09090909091e-102
believe 1.2132042857e-102 3.84617848359e-102 8.88381075631e-103 8.33333332607e-102 4.13279478866e-102 5.37527742927e-102 9.12398394718e-103 3.42863115763e-102 7.14489566272e-102 3.85864495161e-102 8.33468656191e-102 4.00000000005e-102 1.04614886128e-102 7.21885908671e-102 1.43605137541e-101 4.56645414979e-102 4.54339366134e-102 8.95400764916e-103 2.77806730453e-102 3.08302337023e-102 5.05827978879e-102 6.25003461562e-102 4.06840970054e-102 1.6925496681e-102 2.15812943773e-102 6.25000003663e-102 3.83687588532e-102 4.54545454713e-102 1.28998096818e-102 9.08756990151e-102 1.11121609467e-101 1.66666666667e-101 7.11030236302e-102 5.26108585621e-102 7.6714656077e-102 7.20204016354e-102 5.03626190257e-102 2.04939736455e-102 0.0524126971734 4.16669101556e-102 4.76190476251e-102 7.1961990417e-102 3.46593163631e-102 4.20246108858e-102 3.90681006822e-102 6.66666381055e-102 6.71814769476e-102 7.393213968e-102 4.15930600702e-102 5.88240146248e-102 1.95191092207e-102 5.57824884926e-102 2.09399362086e-102 1.88677798616e-102 8.1368532938e-102 4.7477674595e-102 3.77019110903e-102 2.11253694417e-102 6.35529917658e-102 4.21141826542e-102 4.34782608696e-102 5.16444416668e-102 3.11887230942e-102 3.02126046225e-102 2.74336772329e-102 3.03030302999e-102 3.5145700209e-102 3.56936311586e-102 1.95779974046e-102 3.12497750192e-102 7.18798350384e-102 4.54531748397e-102 4.03694322491e-102 3.70405517539e-102 9.61879817338e-102 4.34784008264e-102 2.8506760568e-102 2.92783704471e-102 3.12582016823e-102 9.09090909091e-102
believed 1.2132042857e-102 3.84617848359e-102 8.88381075631e-103 8.33333332607e-102 4.13279478866e-102 5.37527742927e-102 9.12398394718e-103 3.42863115763e-102 7.14489566272e-102 3.85864495161e-102 8.33468656191e-102 4.00000000005e-102 1.04614886128e-102 7.21885908671e-102 1.43605137541e-101 4.56645414979e-102 4.54339366134e-102 8.95400764916e-103 2.77806730453e-102 3.08302337023e-102 5.05827978879e-102 6.25003461562e-102 4.06840970054e-102 1.6925496681e-102 2.15812943773e-102 6.25000003663e-102 3.83687588532e-102 4.54545454713e-102 1.28998096818e-102 9.08756990151e-102 1.11121609467e-101 1.66666666667e-101 7.11030236302e-102 5.26108585621e-102 7.6714656077e-102 7.20204016354e-102 5.03626190257e-102 2.04939736455e-102 5.24126971734e-102 4.16669101556e-102 4.76190476251e-102 7.1961990417e-102 3.46593163631e-102 4.20246108858e-102 3.90681006822e-102 6.66666381055e-102 6.71814769476e-102 7.393213968e-102 4.15930600702e-102 5.88240146248e-102 1.95191092207e-102 5.57824884926e-102 2.09399362086e-102 1.88677798616e-102 8.1368532938e-102 4.7477674595e-102 3.77019110903e-102 2.11253694417e-102 6.35529917658e-102 4.21141826542e-102 4.34782608696e-102 5.16444416668e-102 0.0311887230942 3.02126046225e-102 2.74336772329e-102 3.03030302999e-102 3.5145700209e-102 3.56936311586e-102 1.95779974046e-102 3.12497750192e-102 7.18798350384e-102 4.54531748397e-102 4.03694322491e-102 3.70405517539e-102 9.61879817338e-102 4.34784008264e-102 2.8506760568e-102 2.92783704471e-102 3.12582016823e-102 9.09090909091e-102
beloved 1.2132042857e-102 3.84617848359e-102 8.88381075631e-103 8.33333332607e-102 4.13279478866e-102 5.37527742927e-102 9.12398394718e-103 3.42863115763e-102 7.14489566272e-102 3.85864495161e-102 8.33468656191e-102 4.00000000005e-102 1.04614886128e-102 7.21885908671e-102 1.43605137541e-101 4.56645414979e-102 4.54339366134e-102 8.95400764916e-103 2.77806730453e-102 3.08302337023e-102 5.05827978879e-102 6.25003461562e-102 4.06840970054e-102 1.6925496681e-102 2.15812943773e-102 6.25000003663e-102 3.83687588532e-102 4.54545454713e-102 1.28998096818e-102 9.08756990151e-102 1.11121609467e-101 1.66666666667e-101 7.11030236302e-102 5.26108585621e-102 7.6714656077e-102 7.20204016354e-102 5.03626190257e-102 2.04939736455e-102 0.0524126971734 4.16669101556e-102 4.76190476251e-102 7.1961990417e-102 3.46593163631e-102 4.20246108858e-102 3.90681006822e-102 6.66666381055e-102 6.71814769476e-102 7.393213968e-102 4.15930600702e-102 5.88240146248e-102 1.95191092207e-102 5.57824884926e-102 2.09399362086e-102 1.88677798616e-102 8.1368532938e-102 4.7477674595e-102 3.77019110903e-102 2.11253694417e-102 6.35529917658e-102 4.21141826542e-102 4.34782608696e-102 5.16444416668e-102 3.11887230942e-102 3.02126046225e-102 2.74336772329e-102 3.03030302999e-102 3.5145700209e-102 3.56936311586e-102 1.95779974046e-102 3.12497750192e-102 7.18798350384e-102 4.54531748397e-102 4.03694322491e-102 3.70405517539e-102 9.61879817338e-102 4.34784008264e-102 2.8506760568e-102 2.92783704471e-102 3.12582016823e-102 9.09090909091e-102
bending 1.2132042857e-102 3.84617848359e-102 8.88381075631e-103 8.33333332607e-102 4.13279478866e-102 5.37527742927e-102 9.12398394718e-103 3.42863115763e-102 7.14489566272e-102 3.85864495161e-102 8.33468656191e-102 4.00000000005e-102 1.04614886128e-102 7.21885908671e-102 1.43605137541e-101 4.56645414981e-102 4.54339366134e-102 8.95400764916e-103 2.77806730453e-102 3.08302337023e-102 5.05827978879e-102 6.25003461562e-102 4.06840970054e-102 1.6925496681e-102 2.15812943773e-102 6.25000003663e-102 3.83687588532e-102 4.54545454713e-102 1.28998096818e-102 9.08756990151e-102 1.11121609467e-101 1.66666666667e-101 7.11030236302e-102 5.26108585621e-102 7.6714656077e-102 7.20204016354e-102 5.03626190257e-102 2.04939736455e-102 5.24126971734e-102 1.36438654931e-89 4.76190476251e-102 7.1961990417e-102 3.46593163631e-102 4.20246108858e-102 3.90681006822e-102 6.66666381055e-102 6.71814769476e-102 7.393213968e-102 4.15930600702e-102 5.88240146248e-102 1.95191212658e-102 5.57824884926e-102 2.09399362086e-102 1.88677798616e-102 8.1368532938e-102 4.7477674595e-102 3.77019110903e-102 2.11253694417e-102 6.35529917658e-102 4.21141826542e-102 4.34782608696e-102 5.16444416668e-102 3.11887230942e-102 3.02126046225e-102 2.74336772329e-102 3.03030302999e-102 3.5145700209e-102 3.56936311586e-102 1.95779974046e-102 0.0312497750192 7.18798350384e-102 4.54531748397e-102 4.03694322491e-102 3.70405517539e-102 9.61879817338e-102 4.34784008264e-102 0.028506760568 2.92783704471e-102 3.12582016823e-102 9.09090909091e-102
beseem 1.2132042857e-102 3.84617848359e-102 8.88381075631e-103 8.33333332607e-102 4.13279478866e-102 2.69542672271e-84 9.12398394718e-103 3.42863115763e-102 7.14489566272e-102 3.85864495161e-102 8.33468656191e-102 4.00000000005e-102 1.04614886128e-102 7.21885908671e-102 1.43605137541e-101 4.56645414979e-102 4.54339366134e-102 8.95400764916e-103 2.77806730453e-102 3.08302337023e-102 5.05827978879e-102 6.25003461562e-102 4.06840970054e-102 1.6925496681e-102 2.15812943773e-102 6.25000003663e-102 3.83687588532e-102 4.54545454713e-102 1.28998096818e-102 9.08756990151e-102 1.11121609467e-101 1.66666666667e-101 7.11030236302e-102 4.21102899286e-18 7.6714656077e-102 7.20204016354e-102 5.03626190257e-102 2.04939736455e-102 5.24126971734e-102 4.16669101556e-102 4.76190476251e-102 7.1961990417e-102 3.46593163631e-102 4.20246108858e-102 3.90681006822e-102 6.66666381055e-102 6.71814769476e-102 0.07393213968 4.15930600702e-102 5.88240146248e-102 1.95191092207e-102 5.57824884926e-102 2.09399362086e-102 1.88677798616e-102 8.1368532938e-102 4.7477674595e-102 3.77019110903e-102 2.11253694417e-102 6.35529917658e-102 4.21141826542e-102 4.34782608696e-102 5.16444416668e-102 3.11887230942e-102 3.02126046225e-102 2.74336772329e-102 3.03030302999e-102 3.5145700209e-102 3.56936311586e-102 1.95779974046e-102 3.12497750192e-102 7.18798350384e-102 4.54531748397e-102 4.03694322491e-102 3.70405517539e-102 9.61879817338e-102 4.34784008264e-102 2.8506760568e-102 2.92783704471e-102 3.12582016823e-102 9.09090909091e-102
