 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79
earth 3.12674782072e-102 1.23750240913e-101 1.92284357599e-102 3.7037037037e-102 2.32781119564e-102 1.18970386533e-102 1.25e-101 3.22580645159e-102 3.71178044869e-102 1.20384996597e-101 3.22580596757e-102 4.45295354932e-102 0.0666666666667 3.83554984387e-102 3.4248452498e-102 6.26597790841e-102 2.06272165123e-102 1.50617523641e-102 8.34930467284e-102 1.51515151516e-102 7.06002688833e-102 5.42642731946e-102 8.33333141585e-102 4.68897175214e-102 3.03750940983e-36 1.04166666667e-102 8.3333331216e-102 4.0934585547e-102 3.70494349996e-102 2.5e-101 6.66666670707e-102 5.01843873185e-102 2.83494387189e-102 1.60547107969e-102 2.87550224428e-102 1.39934954536e-73 5.88536425029e-102 3.78045441899e-102 2.46265589941e-102 1.28577151604e-102 2.27272727273e-102 1.58714149541e-102 3.88490018338e-102 2.56410265487e-102 3.87440968381e-102 0.0399852374242 2.57722135614e-102 4.12321640099e-102 3.21174663151e-102 3.99321011474e-102 4.00000046495e-102 2.83315058557e-102 1.49562955918e-102 2.94028636161e-102 2.80024314727e-102 8.33333332788e-102 7.7976991999e-102 2.56374383568e-102 2.24388726657e-102 1.25406134866e-101 3.99999997052e-102 3.03297459744e-102 6.24023883818e-102 4.57221972724e-102 5.27750040554e-102 4.54179407942e-102 3.2409123009e-102 2.82725816813e-102 3.84615384615e-102 3.36119672791e-102 4.75564221664e-102 4.0751752611e-102 4.75616326099e-102 5.57123650441e-102 4.76190500435e-102 3.69419137542e-102 4.14840201143e-102 2.12202557625e-101 6.86738553052e-102 2.49959322081e-102
eclipse 3.12674782072e-102 1.23750240913e-101 1.92284357599e-102 3.7037037037e-102 2.32781119564e-102 1.18970386533e-102 1.25e-101 3.22580645159e-102 3.71178044869e-102 1.20384996597e-101 3.22580596757e-102 4.45295354932e-102 3.33333333333e-102 3.83554984387e-102 3.4248452498e-102 6.26597790849e-102 2.06272165123e-102 1.50617523641e-102 8.34930467284e-102 0.0151515151516 7.06002688833e-102 5.42642731946e-102 8.33333141585e-102 4.68897175214e-102 7.14285714286e-102 1.04166666667e-102 8.3333331216e-102 4.0934585547e-102 3.70494349996e-102 2.5e-101 6.66666670707e-102 5.01843873185e-102 2.83494387189e-102 1.60547107969e-102 2.87550224428e-102 6.30895125786e-102 5.88536425029e-102 3.78045441899e-102 2.46265589941e-102 1.28577151604e-102 2.27272727273e-102 1.58714149541e-102 3.88490018338e-102 2.56410265487e-102 3.87440968381e-102 3.99852374242e-102 2.57722135614e-102 4.12321640099e-102 3.21174663151e-102 3.99321011474e-102 4.00000046495e-102 2.83315058557e-102 1.49562955918e-102 2.94028636161e-102 2.80024314727e-102 8.33333332788e-102 7.7976991999e-102 2.56374383568e-102 2.24388726657e-102 1.25406134866e-101 3.99999997052e-102 3.03297459744e-102 6.24023883818e-102 4.57221972724e-102 5.27750040554e-102 4.54179407942e-102 3.2409123009e-102 2.82725816813e-102 3.84615384615e-102 3.36119672791e-102 4.75564221664e-102 4.0751752611e-102 4.75616326099e-102 5.57123650441e-102 4.76190500435e-102 3.69419137542e-102 4.14840201143e-102 2.12202557625e-101 6.86738553052e-102 2.49959322081e-102
eclipses 3.12674782072e-102 1.23750240913e-101 1.92284357599e-102 3.7037037037e-102 2.32781119564e-102 1.18970386533e-102 1.25e-101 3.22580645159e-102 3.71178044869e-102 1.20384996597e-101 3.22580596757e-102 4.45295354932e-102 3.33333333333e-102 3.83554984387e-102 3.4248452498e-102 6.26597790841e-102 2.06272165123e-102 1.50617523641e-102 8.34930467284e-102 1.51515151516e-102 7.06002688833e-102 5.42642731946e-102 8.33333141585e-102 4.68897175214e-102 7.14285714286e-102 1.04166666667e-102 8.3333331216e-102 4.0934585547e-102 3.70494349996e-102 2.5e-101 6.66666670707e-102 5.01843873185e-102 2.83494387189e-102 1.60547107969e-102 2.87550224428e-102 6.30895125786e-102 5.88536425029e-102 3.78045441899e-102 2.46265589941e-102 1.28577151604e-102 2.27272727273e-102 0.0158714149541 3.88490018338e-102 2.56410265487e-102 3.87440968381e-102 3.99852374242e-102 2.57722135614e-102 4.12321640099e-102 3.21174663151e-102 3.99321011474e-102 4.00000046495e-102 2.83315058557e-102 1.49562955918e-102 2.94028636161e-102 2.80024314727e-102 8.33333332788e-102 7.7976991999e-102 2.56374383568e-102 2.24388726657e-102 1.25406134866e-101 3.99999997052e-102 3.03297459744e-102 6.24023883818e-102 4.57221972724e-102 5.27750040554e-102 4.54179407942e-102 3.2409123009e-102 2.82725816813e-102 3.84615384615e-102 3.36119672791e-102 4.75564221664e-102 4.0751752611e-102 4.75616326099e-102 5.57123650441e-102 4.76190500435e-102 3.69419137542e-102 4.14840201143e-102 2.12202557625e-101 6.86738553052e-102 2.49959322081e-102
effect 3.12674782072e-102 1.23750240913e-101 1.92284357599e-102 3.7037037037e-102 2.32781119564e-102 1.18970386533e-102 1.25e-101 3.22580645159e-102 3.71178044869e-102 1.20384996597e-101 3.22580596757e-102 4.45295354932e-102 3.33333333333e-102 3.83554984387e-102 3.4248452498e-102 6.26597790841e-102 2.06272165123e-102 1.50617523641e-102 8.34930467284e-102 1.51515151516e-102 7.06002688833e-102 5.42642731946e-102 8.33333141585e-102 4.68897175214e-102 7.14285714286e-102 1.04166666667e-102 8.3333331216e-102 4.0934585547e-102 3.70494349996e-102 2.5e-101 6.66666670707e-102 5.01843873185e-102 2.83494387189e-102 1.60547107969e-102 2.87550224428e-102 6.30895125786e-102 5.88536425029e-102 3.78045441899e-102 2.46265589941e-102 1.28577151604e-102 0.0227272727273 1.58714149541e-102 3.88490018338e-102 2.56410265487e-102 3.87440968381e-102 3.99852374242e-102 2.57722135614e-102 4.12321640099e-102 3.21174663151e-102 3.99321011474e-102 4.00000046495e-102 2.83315058557e-102 1.49562955918e-102 2.94028636161e-102 2.80024314727e-102 8.33333332788e-102 7.7976991999e-102 2.56374383568e-102 2.24388726657e-102 1.25406134866e-101 3.99999997052e-102 3.03297459744e-102 6.24023883818e-102 4.57221972724e-102 5.27750040554e-102 4.54179407942e-102 3.2409123009e-102 2.82725816813e-102 3.84615384615e-102 3.36119672791e-102 4.75564221664e-102 4.0751752611e-102 4.75616326099e-102 5.57123650441e-102 4.76190500435e-102 3.69419137542e-102 4.14840201143e-102 2.12202557625e-101 6.86738553052e-102 2.49959322081e-102
eithers 3.12674782072e-102 1.23750240913e-101 1.92284357599e-102 3.7037037037e-102 2.32781119564e-102 0.0118970386533 1.25e-101 3.22580645159e-102 3.71178044869e-102 1.20384996597e-101 3.22580596757e-102 4.45295354932e-102 3.33333333333e-102 3.83554984387e-102 3.4248452498e-102 6.26597790841e-102 2.06272165123e-102 1.50617523641e-102 8.34930467284e-102 1.51515151516e-102 7.06002688833e-102 5.42642731946e-102 8.33333141585e-102 4.68897175214e-102 7.14285714286e-102 1.04166666667e-102 8.3333331216e-102 4.0934585547e-102 3.70494349996e-102 2.5e-101 6.66666670707e-102 5.01843873185e-102 2.83494387189e-102 1.60547107969e-102 2.87550224428e-102 6.30895125786e-102 5.88536425029e-102 3.78045441899e-102 2.46265589941e-102 1.28577151604e-102 2.27272727273e-102 1.58714149541e-102 3.88490018338e-102 2.56410265487e-102 3.87440968381e-102 3.99852374242e-102 2.57722135614e-102 4.12321640099e-102 3.21174663151e-102 3.99321011474e-102 4.00000046495e-102 2.83315058557e-102 1.49562955918e-102 2.94028636161e-102 2.80024314727e-102 8.33333332788e-102 7.7976991999e-102 2.56374383568e-102 2.24388726657e-102 1.25406134866e-101 3.99999997052e-102 3.03297459744e-102 6.24023883818e-102 4.57221972724e-102 5.27750040554e-102 4.54179407942e-102 3.2409123009e-102 2.82725816813e-102 3.84615384615e-102 3.36119672791e-102 4.75564221664e-102 4.0751752611e-102 4.75616326099e-102 5.57123650441e-102 4.76190500435e-102 3.69419137542e-102 4.14840201143e-102 2.12202557625e-101 6.86738553052e-102 2.49959322081e-102
elements 3.12674782072e-102 1.23750240913e-101 1.92284357599e-102 3.7037037037e-102 2.32781119564e-102 1.18970386533e-102 1.25e-101 3.22580645159e-102 3.71178044869e-102 1.20384996597e-101 3.22580596757e-102 4.45295354932e-102 3.33333333333e-102 3.83554984387e-102 3.4248452498e-102 6.26597790841e-102 2.06272165123e-102 1.50617523641e-102 8.34930467284e-102 1.51515151516e-102 7.06002688833e-102 5.42642731946e-102 8.33333141585e-102 4.68897175214e-102 7.14285714286e-102 1.04166666667e-102 8.3333331216e-102 4.0934585547e-102 3.70494349996e-102 2.5e-101 6.66666670707e-102 5.01843873185e-102 0.0283494387189 1.60547107969e-102 2.87550224428e-102 6.30895125786e-102 5.88536425029e-102 3.78045441899e-102 2.46265589941e-102 1.28577151604e-102 2.27272727273e-102 1.58714149541e-102 3.88490018338e-102 2.56410265487e-102 3.87440968381e-102 3.99852374242e-102 2.57722135614e-102 4.12321640099e-102 3.21174663151e-102 3.99321011474e-102 4.00000046495e-102 2.83315058557e-102 1.49562955918e-102 2.94028636161e-102 2.80024314727e-102 8.33333332788e-102 7.7976991999e-102 2.56374383568e-102 2.24388726657e-102 1.25406134866e-101 3.99999997052e-102 3.03297459744e-102 6.24023883818e-102 4.57221972724e-102 5.27750040554e-102 4.54179407942e-102 3.2409123009e-102 2.82725816813e-102 3.84615384615e-102 3.36119672791e-102 4.75564221664e-102 4.0751752611e-102 4.75616326099e-102 5.57123650441e-102 4.76190500435e-102 3.69419137542e-102 4.14840201143e-102 2.12202557625e-101 6.86738553052e-102 2.49959322081e-102
else 3.12674782072e-102 1.23750240913e-101 1.92284357599e-102 3.7037037037e-102 2.32781119564e-102 1.18970386533e-102 1.25e-101 3.22580645159e-102 3.71178044869e-102 1.20384996597e-101 3.22580596757e-102 4.45295354932e-102 3.33333333333e-102 3.83554984387e-102 3.4248452498e-102 6.26597790841e-102 2.06272165123e-102 1.50617523641e-102 8.34930467284e-102 1.51515151516e-102 7.06002688833e-102 5.42642731946e-102 8.33333141585e-102 4.68897175214e-102 0.0714285714286 1.04166666667e-102 8.3333331216e-102 4.0934585547e-102 3.70494349996e-102 2.5e-101 6.66666670707e-102 5.01843873185e-102 2.83494387189e-102 1.60547107969e-102 2.87550224428e-102 6.30895125786e-102 5.88536425029e-102 3.78045441899e-102 2.46265589941e-102 1.28577151604e-102 2.27272727273e-102 1.58714149541e-102 3.88490018338e-102 2.56410265487e-102 3.87440968381e-102 3.99852374242e-102 2.57722135614e-102 4.12321640099e-102 3.21174663151e-102 3.99321011474e-102 4.00000046495e-102 2.83315058557e-102 1.49562955918e-102 2.94028636161e-102 2.80024314727e-102 8.33333332788e-102 7.7976991999e-102 2.56374383568e-102 2.24388726657e-102 1.25406134866e-101 3.99999997052e-102 3.03297459744e-102 6.24023883818e-102 4.57221972724e-102 5.27750040554e-102 4.54179407942e-102 3.2409123009e-102 2.82725816813e-102 3.84615384615e-102 3.36119672791e-102 4.75564221664e-102 4.0751752611e-102 4.75616326099e-102 5.57123650441e-102 4.76190500435e-102 3.69419137542e-102 4.14840201143e-102 2.12202557625e-101 6.86738553052e-102 2.49959322081e-102
elsewhere 3.12674782072e-102 1.23750240913e-101 1.92284357599e-102 3.7037037037e-102 2.32781119564e-102 1.18970386533e-102 1.25e-101 3.22580645159e-102 3.71178044869e-102 1.20384996597e-101 3.22580596757e-102 4.45295354932e-102 3.33333333333e-102 3.83554984387e-102 3.4248452498e-102 6.26597790841e-102 2.06272165123e-102 1.50617523641e-102 8.34930467284e-102 1.51515151516e-102 7.06002688833e-102 5.42642731946e-102 8.33333141585e-102 4.68897175214e-102 7.14285714286e-102 1.04166666667e-102 8.3333331216e-102 4.0934585547e-102 3.70494349996e-102 2.5e-101 6.66666670707e-102 5.01843873185e-102 2.83494387189e-102 1.60547107969e-102 2.87550224428e-102 6.30895125786e-102 5.88536425029e-102 3.78045441899e-102 2.46265589941e-102 1.28577151604e-102 2.27272727273e-102 1.58714149541e-102 3.88490018338e-102 0.0256410265487 3.87440968381e-102 3.99852374242e-102 2.57722135614e-102 4.12321640099e-102 3.21174663151e-102 3.99321011474e-102 4.00000046495e-102 2.83315058557e-102 1.49562955918e-102 2.94028636161e-102 2.80024314727e-102 8.33333332788e-102 7.7976991999e-102 2.56374383568e-102 2.24388726657e-102 1.25406134866e-101 3.99999997052e-102 3.03297459744e-102 6.24023883818e-102 4.57221972724e-102 5.27750040554e-102 4.54179456637e-102 3.2409123009e-102 2.82725816813e-102 3.84615384615e-102 3.36119672791e-102 4.75564221664e-102 4.0751752611e-102 4.75616326099e-102 5.57123650441e-102 4.1490370953e-57 3.69419137542e-102 4.14840201143e-102 2.12202557625e-101 6.86738553052e-102 2.49959322081e-102
end 3.12674782072e-102 1.23750240913e-101 1.92284357599e-102 3.7037037037e-102 2.32781119564e-102 1.18970386533e-102 1.25e-101 3.22580645159e-102 3.71178044869e-102 1.20384996597e-101 3.22580596757e-102 4.45295354932e-102 3.33333333333e-102 3.83554984387e-102 3.4248452498e-102 6.26597790841e-102 2.06272165123e-102 1.50617523641e-102 8.34930467284e-102 0.0151515151516 7.06002688833e-102 5.42642731946e-102 8.33333141585e-102 4.68897175214e-102 7.14285714286e-102 1.04166666667e-102 8.3333331216e-102 4.0934585547e-102 3.70494349996e-102 2.5e-101 6.66666670707e-102 5.01843873185e-102 2.83494387189e-102 1.60547107969e-102 2.87550224428e-102 6.30895125786e-102 5.88536425029e-102 3.78045441899e-102 2.46265589941e-102 1.28577151604e-102 2.27272727273e-102 1.58714149541e-102 3.88490018338e-102 2.56410265487e-102 3.87440968381e-102 3.99852374242e-102 2.57722135614e-102 4.12321640099e-102 3.21174663151e-102 3.99321011474e-102 4.00000046495e-102 2.83315058557e-102 1.49562955918e-102 2.94028636161e-102 2.80024314727e-102 8.33333332788e-102 7.7976991999e-102 2.56374383568e-102 2.24388726657e-102 1.25406134866e-101 3.99999997052e-102 3.03297459744e-102 6.24023883818e-102 4.57221972724e-102 5.27750040554e-102 4.54179407942e-102 3.2409123009e-102 2.82725816813e-102 3.84615384615e-102 3.36119672791e-102 4.75564221664e-102 4.0751752611e-102 4.75616326099e-102 5.57123650441e-102 4.76190500435e-102 3.69419137542e-102 4.14840201143e-102 2.12202557625e-101 6.86738553052e-102 2.49959322081e-102
endured 3.12674782072e-102 1.23750240913e-101 1.92284357599e-102 3.7037037037e-102 2.32781119564e-102 1.18970386533e-102 1.25e-101 3.22580645159e-102 3.71178044869e-102 1.20384996597e-101 3.22580596757e-102 4.45295354932e-102 3.33333333333e-102 3.83554984387e-102 3.4248452498e-102 6.26597790841e-102 2.06272165123e-102 1.50617523641e-102 8.34930467284e-102 1.51515151516e-102 7.06002688833e-102 5.42642731946e-102 8.33333141585e-102 4.68897175214e-102 7.14285714286e-102 0.0104166666667 8.3333331216e-102 4.0934585547e-102 3.70494349996e-102 2.5e-101 6.66666670707e-102 5.01843873185e-102 2.83494387189e-102 1.60547107969e-102 2.87550224428e-102 6.30895125786e-102 5.88536425029e-102 3.78045441899e-102 2.46265589941e-102 1.28577151604e-102 2.27272727273e-102 1.58714149541e-102 3.88490018338e-102 2.56410265487e-102 3.87440968381e-102 3.99852374242e-102 2.57722135614e-102 4.12321640099e-102 3.21174663151e-102 3.99321011474e-102 4.00000046495e-102 2.83315058557e-102 1.49562955918e-102 2.94028636161e-102 2.80024314727e-102 8.33333332788e-102 7.7976991999e-102 2.56374383568e-102 2.24388726657e-102 1.25406134866e-101 3.99999997052e-102 3.03297459744e-102 6.24023883818e-102 4.57221972724e-102 5.27750040554e-102 4.54179407942e-102 3.2409123009e-102 2.82725816813e-102 3.84615384615e-102 3.36119672791e-102 4.75564221664e-102 4.0751752611e-102 4.75616326099e-102 5.57123650441e-102 4.76190500435e-102 3.69419137542e-102 4.14840201143e-102 2.12202557625e-101 6.86738553052e-102 2.49959322081e-102
enemies 3.12674782072e-102 1.23750240913e-101 1.92284357599e-102 3.7037037037e-102 2.32781119564e-102 1.18970386533e-102 1.25e-101 3.22580645159e-102 3.71178044869e-102 1.20384996597e-101 3.22580596757e-102 4.45295354932e-102 3.33333333333e-102 3.83554984387e-102 3.4248452498e-102 6.26597790841e-102 2.06272165123e-102 1.50617523641e-102 8.34930467284e-102 1.51515151516e-102 7.06002688833e-102 5.42642731946e-102 8.33333141585e-102 4.68897175214e-102 7.14285714286e-102 1.04166666667e-102 8.3333331216e-102 4.0934585547e-102 3.70494349996e-102 2.5e-101 6.66666670707e-102 5.01843873185e-102 2.83494387189e-102 1.60547107969e-102 2.87550224428e-102 6.30895125786e-102 5.88536425029e-102 3.78045441899e-102 2.46265589941e-102 1.28577151604e-102 2.27272727273e-102 1.58714149541e-102 3.88490018338e-102 2.56410265487e-102 3.87440968381e-102 3.99852374242e-102 2.57722135614e-102 4.12321640099e-102 3.21174663151e-102 3.99321011474e-102 4.00000046495e-102 2.83315058557e-102 1.49562955918e-102 0.0294028636161 2.80024314727e-102 8.33333332788e-102 7.7976991999e-102 2.56374383568e-102 2.24388726657e-102 1.25406134866e-101 3.99999997052e-102 3.03297459744e-102 6.24023883818e-102 4.57221972724e-102 5.27750040554e-102 4.54179407942e-102 3.2409123009e-102 2.82725816813e-102 3.84615384615e-102 3.36119672791e-102 4.75564221664e-102 4.0751752611e-102 4.75616326099e-102 5.57123650441e-102 4.76190500435e-102 3.69419137542e-102 4.14840201143e-102 2.12202557625e-101 6.86738553052e-102 2.49959322081e-102
enforced 3.12674782072e-102 1.23750240913e-101 1.922843576e-102 3.7037037037e-102 2.32781119564e-102 1.18970386533e-102 1.25e-101 3.22580645159e-102 3.71178044869e-102 1.20384996597e-101 0.0322580596757 4.45295354932e-102 3.33333333333e-102 3.83554984387e-102 3.4248452498e-102 6.26597790842e-102 2.06272165123e-102 1.50617523641e-102 8.34930467284e-102 1.51515151516e-102 7.06002688833e-102 5.42642731946e-102 8.33333141585e-102 4.10841376348e-46 7.14285714286e-102 1.04166666667e-102 8.3333331216e-102 4.0934585547e-102 3.70494349996e-102 2.5e-101 6.66666670707e-102 5.01843873185e-102 2.83494387189e-102 1.60547107969e-102 2.87550224428e-102 6.30895125786e-102 5.88536425029e-102 3.78045441899e-102 2.46265589941e-102 1.28577151604e-102 2.27272727273e-102 1.58714149541e-102 3.88490018338e-102 2.56410265487e-102 3.87440968381e-102 3.99852374242e-102 2.57722135614e-102 4.12321640099e-102 3.21174663151e-102 3.99321011474e-102 4.00000046495e-102 2.83315058557e-102 1.49562955918e-102 2.94028636161e-102 2.80024314727e-102 8.33333332788e-102 7.7976991999e-102 2.56374383568e-102 2.24388726657e-102 1.25406134866e-101 3.99999997052e-102 3.03297459744e-102 6.24023883823e-102 4.57221972724e-102 5.27750040554e-102 4.54179407942e-102 3.2409123009e-102 2.82725816813e-102 3.84615384615e-102 3.36119672791e-102 4.75564221664e-102 4.07517526112e-102 4.75616326099e-102 5.57123650441e-102 4.76190500435e-102 3.69419137542e-102 4.14840201143e-102 2.12202557625e-101 6.86738553052e-102 2.49959322081e-102
enjoyed 3.12674782072e-102 1.23750240913e-101 1.92284357599e-102 3.7037037037e-102 2.32781119564e-102 1.18970386533e-102 1.25e-101 3.22580645159e-102 3.71178044869e-102 1.20384996597e-101 3.22580596757e-102 4.45295354932e-102 3.33333333333e-102 3.83554984387e-102 3.4248452498e-102 6.26597790841e-102 0.0206272165123 1.50617523641e-102 8.34930467284e-102 1.51515151516e-102 7.06002688833e-102 5.42642731946e-102 8.33333141585e-102 4.68897175214e-102 7.14285714286e-102 1.04166666667e-102 8.3333331216e-102 4.0934585547e-102 3.70494349996e-102 2.5e-101 6.66666670707e-102 5.01843873185e-102 2.83494387189e-102 1.60547107969e-102 2.87550224428e-102 6.30895125786e-102 5.88536425029e-102 3.78045441899e-102 2.46265589941e-102 2.74226990871e-56 2.27272727273e-102 1.58714149541e-102 3.88490018338e-102 2.56410265487e-102 3.87440968381e-102 3.99852374242e-102 2.57722135614e-102 4.12321640099e-102 3.21174663151e-102 3.99321011474e-102 4.00000046495e-102 2.83315058557e-102 1.49562955918e-102 2.94028636161e-102 2.80024314727e-102 8.33333332788e-102 7.7976991999e-102 2.56374383568e-102 2.24388726657e-102 1.25406134866e-101 3.99999997052e-102 3.03297459744e-102 6.24023883818e-102 4.57221972724e-102 5.27750040554e-102 4.54179407942e-102 3.2409123009e-102 2.82725816813e-102 3.84615384615e-102 3.36119672791e-102 4.75564221664e-102 4.0751752611e-102 4.75616326099e-102 5.57123650441e-102 4.76190500435e-102 3.69419137542e-102 4.14840201143e-102 2.12202557625e-101 6.86738553052e-102 2.49959322081e-102
enjoyer 3.12674782072e-102 1.23750240913e-101 1.92284357599e-102 3.7037037037e-102 2.32781119564e-102 1.18970386533e-102 1.25e-101 3.22580645159e-102 3.71178044869e-102 1.20384996597e-101 3.22580596757e-102 4.45295354932e-102 3.33333333333e-102 3.83554984387e-102 3.4248452498e-102 6.26597790841e-102 2.06272165123e-102 1.50617523641e-102 8.34930467284e-102 1.51515151516e-102 7.06002688833e-102 5.42642731946e-102 8.33333141585e-102 4.68897175214e-102 7.14285714286e-102 1.04166666667e-102 8.3333331216e-102 4.0934585547e-102 3.70494349996e-102 2.5e-101 6.66666670707e-102 5.01843873185e-102 2.83494387189e-102 1.60547107969e-102 2.87550224428e-102 6.30895125786e-102 5.88536425029e-102 3.78045441899e-102 2.46265589941e-102 1.28577151604e-102 2.27272727273e-102 1.58714149541e-102 3.88490018338e-102 2.56410265487e-102 3.87440968381e-102 3.99852374242e-102 2.57722135614e-102 4.12321640099e-102 0.0321174663151 3.99321011474e-102 4.00000046495e-102 2.83315058557e-102 1.49562955918e-102 2.94028636161e-102 2.80024314727e-102 8.33333332788e-102 7.7976991999e-102 2.56374383568e-102 2.24388726657e-102 1.25406134866e-101 3.99999997052e-102 3.03297459744e-102 6.24023883818e-102 4.57221972724e-102 5.27750040554e-102 4.54179407942e-102 3.2409123009e-102 2.82725816813e-102 3.84615384615e-102 3.36119672791e-102 4.75564221664e-102 4.0751752611e-102 4.75616326099e-102 5.57123650441e-102 4.76190500435e-102 3.69419137542e-102 4.14840201143e-102 2.12202557625e-101 6.86738553052e-102 2.49959322081e-102
enough 3.12674782072e-102 1.23750240913e-101 1.92284357599e-102 3.7037037037e-102 2.32781119564e-102 1.18970386533e-102 1.25e-101 3.22580645159e-102 3.71178044869e-102 1.20384996597e-101 3.22580596757e-102 4.45295354932e-102 3.33333333333e-102 3.83554984387e-102 3.4248452498e-102 6.26597790841e-102 2.06272165123e-102 1.50617523641e-102 8.34930467284e-102 1.51515151516e-102 7.06002688833e-102 5.42642731946e-102 8.33333141585e-102 4.68897175214e-102 7.14285714286e-102 1.04166666667e-102 8.3333331216e-102 4.0934585547e-102 3.70494349996e-102 2.5e-101 6.66666670707e-102 5.01843873185e-102 2.83494387189e-102 1.60547107969e-102 2.87550224428e-102 6.30895125786e-102 5.88536425029e-102 3.78045441899e-102 2.46265589941e-102 1.28577151604e-102 2.27272727273e-102 1.58714149541e-102 3.88490018338e-102 0.0256410265487 3.87440968381e-102 3.99852374242e-102 2.57722135614e-102 4.12321640099e-102 3.21174663151e-102 3.99321011474e-102 4.00000046495e-102 2.83315058557e-102 1.49562955918e-102 2.94028636161e-102 2.80024314727e-102 8.33333332788e-102 7.7976991999e-102 2.56374383568e-102 2.24388726657e-102 1.25406134866e-101 3.99999997052e-102 3.03297459744e-102 6.24023883818e-102 4.57221972724e-102 5.27750040554e-102 4.54179407942e-102 3.2409123009e-102 2.82725816813e-102 3.84615384615e-102 3.36119672791e-102 4.75564221664e-102 4.0751752611e-102 4.75616326099e-102 5.57123650441e-102 4.76190500435e-102 3.69419137542e-102 4.14840201143e-102 2.12202557625e-101 6.86738553052e-102 2.49959322081e-102
entitled 3.12674782072e-102 1.23750240913e-101 1.92284357599e-102 3.7037037037e-102 2.32781119564e-102 1.18970386533e-102 1.25e-101 3.22580645159e-102 3.71178044869e-102 1.20384996597e-101 3.22580596757e-102 4.45295354932e-102 3.33333333333e-102 3.83554984387e-102 3.4248452498e-102 6.26597790841e-102 2.06272165123e-102 1.50617523641e-102 8.34930467284e-102 1.51515151516e-102 7.06002688833e-102 5.42642731946e-102 8.33333141585e-102 4.68897175214e-102 7.14285714286e-102 1.04166666667e-102 8.3333331216e-102 4.0934585547e-102 3.70494349996e-102 2.5e-101 6.66666670707e-102 5.01843873185e-102 2.83494387189e-102 1.60547107969e-102 2.87550224428e-102 6.30895125786e-102 5.88536425029e-102 3.78045441899e-102 2.46265589941e-102 0.0128577151604 2.27272727273e-102 1.58714149541e-102 3.88490018338e-102 2.56410265487e-102 3.87440968381e-102 3.99852374242e-102 2.57722135614e-102 4.12321640099e-102 3.21174663151e-102 3.99321011474e-102 4.00000046495e-102 2.83315058557e-102 1.49562955918e-102 2.94028636161e-102 2.80024314727e-102 8.33333332788e-102 7.7976991999e-102 2.56374383568e-102 2.24388726657e-102 1.25406134866e-101 3.99999997052e-102 3.03297459744e-102 6.24023883818e-102 4.57221972724e-102 5.27750040554e-102 4.54179407942e-102 3.2409123009e-102 2.82725816813e-102 3.84615384615e-102 3.36119672791e-102 4.75564221664e-102 4.0751752611e-102 4.75616326099e-102 5.57123650441e-102 4.76190500435e-102 3.69419137542e-102 4.14840201143e-102 2.12202557625e-101 6.86738553056e-102 2.49959322081e-102
envy 3.12674782072e-102 1.23750240913e-101 1.92284357599e-102 3.7037037037e-102 2.32781119564e-102 1.18970386533e-102 1.25e-101 3.22580645159e-102 3.71178044869e-102 1.20384996597e-101 3.22580596757e-102 4.45295354932e-102 0.0333333333333 3.83554984387e-102 3.4248452498e-102 6.26597790841e-102 2.06272165123e-102 1.50617523641e-102 8.34930467284e-102 1.51515151516e-102 7.06002688833e-102 5.42642731946e-102 8.33333141585e-102 4.68897175214e-102 7.14285714286e-102 1.04166666667e-102 8.3333331216e-102 4.0934585547e-102 3.70494349996e-102 2.5e-101 6.66666670707e-102 5.01843873185e-102 2.83494387189e-102 1.60547107969e-102 2.87550224428e-102 6.30895125786e-102 5.88536425029e-102 3.78045441899e-102 2.46265589941e-102 1.28577151604e-102 2.27272727273e-102 1.58714149541e-102 3.88490018338e-102 2.56410265487e-102 3.87440968381e-102 3.99852374242e-102 2.57722135614e-102 4.12321640099e-102 3.21174663151e-102 3.99321011474e-102 4.00000046495e-102 2.83315058557e-102 1.49562955918e-102 2.94028636161e-102 2.80024314727e-102 8.33333332788e-102 7.7976991999e-102 2.56374383568e-102 2.24388726657e-102 1.25406134866e-101 3.99999997052e-102 3.03297459744e-102 6.24023883818e-102 4.57221972724e-102 5.27750040554e-102 4.54179407942e-102 3.2409123009e-102 2.82725816813e-102 3.84615384615e-102 3.36119672791e-102 4.75564221664e-102 4.0751752611e-102 4.75616326099e-102 5.57123650441e-102 4.76190500435e-102 3.69419137542e-102 4.14840201143e-102 2.12202557625e-101 6.86738553052e-102 2.49959322081e-102
