 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79
use 4.36109629566e-102 7.1327640461e-102 1.78037715299e-102 1.25e-101 6.74416047574e-103 5.22399202559e-102 6.66666666724e-102 6.68150173975e-102 7.16129326415e-102 9.82524598431e-102 5.55555555556e-102 2.98074835858e-102 5.30527508855e-102 8.34156710353e-102 5.04741489423e-102 1.03176069821e-102 2.5e-101 3.13173819395e-102 1.04290006394e-102 6.66666666667e-102 2.53150296644e-102 3.33339238522e-102 5.8823529583e-102 5.88235294118e-102 2.50691388626e-102 2.6310904165e-102 3.4484054678e-102 0.0201701302341 6.24999998095e-102 3.57775973584e-102 4.78133695753e-102 2.47541330765e-102 1.91236476954e-102 4.96040809704e-102 3.02344821727e-102 5.13173739909e-102 6.25e-102 2.56374761976e-102 3.23003838828e-102 3.35589252566e-102 5.8824117057e-102 2.38470750414e-102 2.43466525777e-102 5.54947319676e-102 3.69972104218e-102 5.88099093619e-102 5.55555555556e-102 4.78690955141e-102 7.52061226378e-102 0.0520675512793 4.32480685797e-102 2.86066300945e-102 1e-101 4.72882404952e-102 5.31062191264e-102 2.36364684662e-102 3.70370346569e-102 2.71285597597e-102 3.125e-102 4.34809313336e-102 2.76378155913e-102 4.99697571767e-102 1.25757484138e-101 2.71087983715e-102 1.47304769335e-102 4.34372310964e-102 1.97625631023e-102 1.24955459701e-101 3.06267553209e-102 8.3863299977e-102 1.95580304216e-102 1e-101 6.66659090816e-102 4.55436196501e-102 5.80615147534e-102 1.21793067108e-102 0.0275009887289 4.66555119195e-102 1.3593482102e-102 3.2780603635e-102
utmost 4.36109629565e-102 7.1327640461e-102 1.78037715299e-102 1.25e-101 6.74416047574e-103 5.22399202559e-102 6.66666666724e-102 6.68150173975e-102 7.16129326415e-102 9.82524598431e-102 5.55555555556e-102 2.98074835858e-102 5.30527508855e-102 8.34156710353e-102 5.04741489423e-102 1.03176069821e-102 2.5e-101 3.13173819395e-102 1.04290006394e-102 6.66666666667e-102 2.53150296644e-102 3.33339238522e-102 5.8823529583e-102 5.88235294118e-102 2.50691388626e-102 2.6310904165e-102 3.4484054678e-102 2.50159498653e-102 6.24999998095e-102 3.57775973584e-102 4.78133695753e-102 2.47541330765e-102 1.91236476954e-102 4.96040809704e-102 3.02344821727e-102 5.13173739909e-102 6.25e-102 2.56374761976e-102 3.23003838828e-102 3.35589252566e-102 5.8824117057e-102 2.38470750414e-102 2.43466525777e-102 5.54947319676e-102 3.69972104218e-102 5.88099093619e-102 5.55555555556e-102 4.78690955141e-102 7.52061226378e-102 2.37349377408e-102 4.32480685797e-102 2.86066300945e-102 1e-101 4.72882404952e-102 5.31062191264e-102 2.36364684662e-102 3.70370346569e-102 2.71285597597e-102 3.125e-102 4.34809313336e-102 2.76378155913e-102 4.99697571767e-102 1.25757484138e-101 2.71087983715e-102 1.47304769335e-102 4.34372310964e-102 1.97625631023e-102 1.24955459701e-101 3.06267553209e-102 8.3863299977e-102 1.95580304216e-102 1e-101 6.66659090816e-102 4.55436196501e-102 5.80615147534e-102 0.0121793067108 2.75009887289e-102 4.66555119195e-102 1.3593482102e-102 3.2780603635e-102
vacant 4.36109629565e-102 7.1327640461e-102 1.78037715299e-102 1.25e-101 6.74416047574e-103 5.22399202559e-102 6.66666666724e-102 6.68150173975e-102 7.16129326415e-102 9.82524598431e-102 5.55555555556e-102 2.98074835858e-102 5.30527508855e-102 8.34156710353e-102 5.04741489423e-102 1.03176069821e-102 2.5e-101 3.13173819395e-102 1.04290006394e-102 6.66666666667e-102 2.53150296644e-102 3.33339238522e-102 5.8823529583e-102 5.88235294118e-102 2.50691388626e-102 2.6310904165e-102 3.4484054678e-102 2.50159498653e-102 6.24999998095e-102 3.57775973584e-102 4.78133695753e-102 2.47541330765e-102 1.91236476954e-102 4.96040809704e-102 3.02344821727e-102 5.13173739909e-102 6.25e-102 2.56374761976e-102 3.23003838828e-102 3.35589252566e-102 5.8824117057e-102 2.38470750414e-102 2.43466525777e-102 5.54947319676e-102 3.69972104218e-102 5.88099093619e-102 5.55555555556e-102 4.78690955141e-102 7.52061226378e-102 2.37349377408e-102 4.32480685797e-102 2.86066300945e-102 1e-101 4.72882404952e-102 5.31062191264e-102 0.0236364684662 3.70370346569e-102 2.71285597597e-102 3.125e-102 4.34809313336e-102 2.76378155913e-102 4.99697571767e-102 1.25757484138e-101 2.71087983715e-102 1.47304769335e-102 4.34372310964e-102 1.97625631023e-102 1.24955459701e-101 3.06267553209e-102 8.3863299977e-102 1.95580304216e-102 1e-101 6.66659090816e-102 4.55436196501e-102 5.80615147534e-102 1.21793067108e-102 2.75009887289e-102 4.66555119195e-102 1.3593482102e-102 3.2780603635e-102
vassalage 4.36109629565e-102 7.1327640461e-102 1.78037715299e-102 1.25e-101 6.74416047574e-103 5.22399202559e-102 6.66666666724e-102 6.68150173975e-102 7.16129326415e-102 9.82524598431e-102 5.55555555556e-102 2.98074835858e-102 5.30527508855e-102 8.34156710353e-102 5.04741489423e-102 1.03176069821e-102 2.5e-101 3.13173819395e-102 1.04290006394e-102 6.66666666667e-102 2.53150296644e-102 3.33339238522e-102 5.8823529583e-102 5.88235294118e-102 2.50691388626e-102 0.026310904165 3.4484054678e-102 2.50159498653e-102 6.24999998095e-102 3.57775973584e-102 4.78133695753e-102 2.47541330765e-102 1.91236476954e-102 4.96040809704e-102 3.02344821727e-102 5.13173739909e-102 6.25e-102 2.56374761976e-102 3.23003838828e-102 3.35589252566e-102 5.8824117057e-102 2.38470750414e-102 2.43466525777e-102 5.54947319676e-102 3.69972104218e-102 5.88099093619e-102 5.55555555556e-102 4.78690955141e-102 7.52061226378e-102 2.37349377408e-102 4.32480685797e-102 2.86066300945e-102 1e-101 4.72882404952e-102 5.31062191264e-102 2.36364684662e-102 3.70370346569e-102 2.71285597597e-102 3.125e-102 4.34809313336e-102 2.76378155913e-102 4.99697571767e-102 1.25757484138e-101 2.71087983715e-102 1.47304769335e-102 4.34372310964e-102 1.97625631023e-102 1.24955459701e-101 3.06267553209e-102 8.3863299977e-102 1.95580304216e-102 1e-101 6.66659090816e-102 4.55436196501e-102 5.80615147534e-102 1.21793067108e-102 2.75009887289e-102 4.66555119195e-102 1.3593482102e-102 3.2780603635e-102
verse 4.36109629565e-102 7.1327640461e-102 1.78037715299e-102 1.25e-101 6.74416047574e-103 5.22399202559e-102 6.66666666724e-102 6.68150173975e-102 7.16129326415e-102 9.82524598431e-102 5.55555555556e-102 2.98074835858e-102 5.30527508855e-102 8.34156710353e-102 5.04741489423e-102 1.03176069821e-102 2.5e-101 3.13173819395e-102 1.04290006394e-102 6.66666666667e-102 2.53150296644e-102 3.33339238522e-102 5.8823529583e-102 5.88235294118e-102 2.50691388626e-102 2.6310904165e-102 3.4484054678e-102 2.50159498653e-102 6.24999998095e-102 3.57775973584e-102 4.78133695753e-102 2.47541330765e-102 1.91236476954e-102 4.96040809704e-102 3.02344821727e-102 5.13173739909e-102 6.25e-102 2.56374761976e-102 3.23003838828e-102 3.35589252566e-102 0.058824117057 2.38470750414e-102 3.30439929732e-71 5.54947319676e-102 3.69972104218e-102 5.88099093619e-102 0.0555555555556 4.78690955141e-102 7.52061226378e-102 2.37349377408e-102 4.32480685797e-102 2.86066300945e-102 0.1 4.72882404952e-102 5.31062191264e-102 2.36364684662e-102 3.70370346569e-102 2.71285597597e-102 3.125e-102 4.34809313336e-102 2.76378155913e-102 4.99697571767e-102 1.25757484138e-101 2.71087983715e-102 1.47304769335e-102 4.34372310964e-102 1.97625631023e-102 1.24955459701e-101 3.06267553209e-102 8.3863299977e-102 1.95580304216e-102 1e-101 6.66659090816e-102 4.55436196501e-102 5.80615147534e-102 1.21793067108e-102 2.75009887289e-102 4.66555119195e-102 1.3593482102e-102 3.2780603635e-102
very 4.36109629565e-102 7.1327640461e-102 1.78037715299e-102 1.25e-101 6.74416047574e-103 5.22399202559e-102 6.66666666724e-102 6.68150173975e-102 7.16129326415e-102 9.82524598431e-102 5.55555555556e-102 2.98074835858e-102 5.30527508855e-102 8.34156710353e-102 5.04741489423e-102 1.03176069821e-102 2.5e-101 0.0313173819395 1.04290006394e-102 6.66666666667e-102 2.53150296644e-102 3.33339238522e-102 5.8823529583e-102 5.88235294118e-102 2.50691388626e-102 2.6310904165e-102 3.4484054678e-102 2.50159498653e-102 6.24999998095e-102 3.57775973584e-102 4.78133695753e-102 2.47541330765e-102 1.91236476954e-102 4.96040809704e-102 3.02344821727e-102 5.13173739909e-102 6.25e-102 2.56374761976e-102 3.23003838828e-102 3.35589252566e-102 5.8824117057e-102 2.38470750414e-102 2.43466525777e-102 5.54947319676e-102 3.69972104218e-102 5.88099093619e-102 5.55555555556e-102 4.78690955141e-102 7.52061226378e-102 2.37349377408e-102 4.32480685797e-102 2.86066300945e-102 1e-101 4.72882404952e-102 5.31062191264e-102 2.36364684662e-102 3.70370346569e-102 2.71285597597e-102 3.125e-102 4.34809313336e-102 2.76378155913e-102 4.99697571767e-102 1.25757484138e-101 2.71087983715e-102 1.47304769335e-102 4.34372310964e-102 1.97625631023e-102 1.24955459701e-101 3.06267553209e-102 8.3863299977e-102 1.95580304216e-102 1e-101 6.66659090816e-102 4.55436196501e-102 5.80615147534e-102 1.21793067108e-102 2.75009887289e-102 4.66555119195e-102 1.3593482102e-102 3.2780603635e-102
vex 4.36109629565e-102 7.1327640461e-102 1.78037715299e-102 1.25e-101 6.74416047574e-103 5.22399202559e-102 0.0666666666724 6.68150173975e-102 7.16129326415e-102 9.82524598431e-102 5.55555555556e-102 2.98074835858e-102 5.30527508855e-102 8.34156710353e-102 5.04741489423e-102 1.03176069821e-102 2.5e-101 3.13173819395e-102 1.04290006394e-102 6.66666666667e-102 2.53150296644e-102 3.33339238522e-102 5.8823529583e-102 5.88235294118e-102 2.50691388626e-102 2.6310904165e-102 3.4484054678e-102 2.50159498653e-102 6.24999998095e-102 3.57775973584e-102 4.78133695753e-102 2.47541330765e-102 1.91236476954e-102 4.96040809704e-102 3.02344821727e-102 5.13173739909e-102 6.25e-102 2.56374761976e-102 3.23003838828e-102 3.30184131508e-73 5.8824117057e-102 2.38470750414e-102 2.43466525777e-102 5.54947319676e-102 3.69972104218e-102 5.88099093619e-102 5.55555555556e-102 4.78690955141e-102 7.52061226378e-102 2.37349377408e-102 4.32480685797e-102 2.86066300945e-102 1e-101 4.72882404952e-102 5.31062191264e-102 2.36364684662e-102 3.70370346569e-102 2.71285597597e-102 3.125e-102 4.34809313336e-102 2.76378155913e-102 4.99697571767e-102 1.25757484138e-101 2.71087983715e-102 1.47304769335e-102 4.34372310964e-102 1.97625631023e-102 1.24955459701e-101 3.06267553209e-102 8.3863299977e-102 1.95580304216e-102 1e-101 6.66659090816e-102 4.55436196501e-102 5.80615147534e-102 1.21793067108e-102 2.75009887289e-102 4.66555119195e-102 1.3593482102e-102 3.2780603635e-102
vial 4.36109629565e-102 7.1327640461e-102 1.78037715299e-102 1.25e-101 6.74416047574e-103 5.22399202559e-102 6.66666666724e-102 6.68150173975e-102 7.16129326415e-102 9.82524598431e-102 5.55555555556e-102 2.98074835858e-102 5.30527508855e-102 8.34156710353e-102 5.04741489423e-102 1.03176069821e-102 2.5e-101 3.13173819395e-102 1.04290006394e-102 6.66666666667e-102 2.53150296644e-102 3.33339238522e-102 5.8823529583e-102 5.88235294118e-102 2.50691388626e-102 2.6310904165e-102 3.4484054678e-102 2.50159498653e-102 6.24999998095e-102 3.57775973584e-102 4.78133695753e-102 2.47541330765e-102 1.91236476954e-102 4.96040809704e-102 3.02344821727e-102 5.13173739909e-102 6.25e-102 2.56374761976e-102 3.23003838828e-102 3.35589252566e-102 5.8824117057e-102 2.38470750414e-102 2.43466525777e-102 5.54947319676e-102 3.69972104218e-102 5.88099093619e-102 5.55555555556e-102 4.78690955141e-102 7.52061226378e-102 2.37349377408e-102 4.32480685797e-102 2.86066300945e-102 1e-101 4.72882404952e-102 5.31062191264e-102 2.36364684662e-102 3.70370346569e-102 2.71285597597e-102 3.125e-102 4.34809313336e-102 2.76378155913e-102 4.99697571767e-102 1.25757484138e-101 2.71087983715e-102 1.47304769335e-102 4.34372310964e-102 0.0197625631023 1.24955459701e-101 3.06267553209e-102 8.3863299977e-102 1.95580304216e-102 1e-101 6.66659090816e-102 4.55436196501e-102 5.80615147534e-102 1.21793067108e-102 2.75009887289e-102 4.66555119195e-102 1.3593482102e-102 3.2780603635e-102
view 4.36109629565e-102 7.1327640461e-102 1.78037715299e-102 1.25e-101 6.74416047574e-103 5.22399202559e-102 6.66666666724e-102 6.68150173975e-102 7.16129326415e-102 9.82524598431e-102 5.55555555556e-102 2.98074835858e-102 5.30527508855e-102 8.34156710353e-102 5.04741489423e-102 1.03176069821e-102 2.5e-101 3.13173819395e-102 1.04290006394e-102 6.66666666667e-102 2.53150296644e-102 3.33339238522e-102 5.8823529583e-102 5.88235294118e-102 2.50691388626e-102 2.6310904165e-102 3.4484054678e-102 0.00901394056178 6.24999998095e-102 3.57775973584e-102 4.78133695753e-102 2.47541330765e-102 1.91236476954e-102 4.96040809704e-102 3.02344821727e-102 5.13173739909e-102 6.25e-102 2.56374761976e-102 3.23003838828e-102 3.35589252566e-102 5.8824117057e-102 2.38470750414e-102 2.43466525777e-102 5.54947319676e-102 3.69972104218e-102 5.88099093619e-102 5.55555555556e-102 4.78690955141e-102 7.52061226378e-102 0.0151825813768 4.32480685797e-102 2.86066300945e-102 1e-101 4.72882404952e-102 5.31062191264e-102 2.36364684662e-102 3.70370346569e-102 2.71285597597e-102 3.125e-102 4.34809313336e-102 2.76378155913e-102 4.99697571767e-102 1.25757484138e-101 2.71087983715e-102 1.47304769335e-102 4.34372310964e-102 1.97625631023e-102 1.24955459701e-101 3.06267553209e-102 8.3863299977e-102 1.95580304216e-102 1e-101 6.66659090816e-102 4.55436196501e-102 5.80615147534e-102 1.21793067108e-102 2.75009887289e-102 4.66555119195e-102 1.3593482102e-102 3.2780603635e-102
viewest 4.36109629565e-102 7.1327640461e-102 1.78037715299e-102 1.25e-101 6.74416047574e-103 5.22399202559e-102 6.66666666724e-102 6.68150173975e-102 7.16129326415e-102 9.82524598431e-102 5.55555555556e-102 2.98074835858e-102 5.30527508855e-102 8.34156710353e-102 5.04741489423e-102 1.03176069821e-102 2.5e-101 3.13173819395e-102 1.04290006394e-102 6.66666666667e-102 2.53150296644e-102 3.33339238522e-102 5.8823529583e-102 5.88235294118e-102 2.50691388626e-102 2.6310904165e-102 3.4484054678e-102 0.00834987630149 6.24999998095e-102 3.57775973584e-102 4.78133695753e-102 2.47541330765e-102 1.91236476954e-102 4.96040809704e-102 3.02344821727e-102 5.13173739909e-102 6.25e-102 2.56374761976e-102 3.23003838828e-102 3.35589252566e-102 5.8824117057e-102 2.38470750414e-102 2.43466525777e-102 5.54947319676e-102 3.69972104218e-102 5.88099093619e-102 5.55555555556e-102 4.78690955141e-102 7.52061226378e-102 0.0158126403575 4.32480685797e-102 2.86066300945e-102 1e-101 4.72882404952e-102 5.31062191264e-102 2.36364684662e-102 3.70370346569e-102 2.71285597597e-102 3.125e-102 4.34809313336e-102 2.76378155913e-102 4.99697571767e-102 1.25757484138e-101 2.71087983715e-102 1.47304769335e-102 4.34372310964e-102 1.97625631023e-102 1.24955459701e-101 3.06267553209e-102 8.3863299977e-102 1.95580304216e-102 1e-101 6.66659090816e-102 4.55436196501e-102 5.80615147534e-102 1.21793067108e-102 2.75009887289e-102 4.66555119195e-102 1.3593482102e-102 3.2780603635e-102
vile 4.36109629565e-102 7.1327640461e-102 1.78037715299e-102 1.25e-101 6.74416047574e-103 5.22399202559e-102 6.66666666724e-102 6.68150173975e-102 7.16129326415e-102 9.82524598431e-102 5.55555555556e-102 2.98074835858e-102 5.30527508855e-102 8.34156710353e-102 5.04741489423e-102 1.03176069821e-102 2.5e-101 3.13173819395e-102 1.04290006394e-102 6.66666666667e-102 2.53150296644e-102 3.33339238522e-102 5.8823529583e-102 5.88235294118e-102 2.50691388626e-102 2.6310904165e-102 3.4484054678e-102 2.50159498653e-102 6.24999998095e-102 3.57775973584e-102 4.78133695753e-102 2.47541330765e-102 1.91236476954e-102 4.96040809704e-102 3.02344821727e-102 5.13173739909e-102 6.25e-102 2.56374761976e-102 3.23003838828e-102 3.35589252566e-102 5.8824117057e-102 2.38470750414e-102 2.43466525777e-102 5.54947319676e-102 3.69972104218e-102 5.88099093619e-102 5.55555555556e-102 4.78690955141e-102 7.52061226378e-102 2.37349377408e-102 4.32480685797e-102 2.86066300945e-102 1e-101 4.72882404952e-102 5.31062191264e-102 2.36364684662e-102 3.70370346569e-102 2.71285597597e-102 3.125e-102 4.34809313336e-102 2.76378155913e-102 4.99697571767e-102 1.25757484138e-101 2.71087983715e-102 0.0147304769335 4.34372310964e-102 1.97625631023e-102 1.24955459701e-101 3.06267553209e-102 8.3863299977e-102 1.95580304216e-102 0.1 6.66659090816e-102 4.55436196501e-102 5.80615147534e-102 1.21793067108e-102 2.75009887289e-102 4.66555119195e-102 1.3593482102e-102 3.2780603635e-102
violet 4.36109629565e-102 7.1327640461e-102 1.56554470401e-96 1.25e-101 6.74416047574e-103 5.22399202559e-102 6.66666666724e-102 6.68150173975e-102 7.21560478112e-102 9.82524598431e-102 5.55555555556e-102 2.98074835858e-102 5.30527508855e-102 0.0834156710353 5.04741489423e-102 1.03176069821e-102 2.5e-101 3.13173819395e-102 1.04290006394e-102 6.66666666667e-102 2.53150296644e-102 3.33339238522e-102 5.8823529583e-102 5.88235294118e-102 2.50691388626e-102 2.6310904165e-102 3.4484054678e-102 2.50159498653e-102 6.24999998095e-102 3.57775973584e-102 4.78133695753e-102 2.47541330765e-102 1.91236476954e-102 4.96040809704e-102 3.02344821727e-102 5.13173739909e-102 6.25e-102 2.56374761976e-102 3.23003838828e-102 3.35589252566e-102 5.8824117057e-102 2.38470750414e-102 2.43466525777e-102 5.54947319676e-102 3.69972104218e-102 5.88099093619e-102 5.55555555556e-102 4.78690955141e-102 7.52061226378e-102 2.37349377408e-102 4.32480685797e-102 2.86066300945e-102 1e-101 4.72882404952e-102 5.31062191264e-102 2.36364684662e-102 3.70370346569e-102 2.71285597597e-102 3.125e-102 4.34809313336e-102 2.76378155913e-102 4.99697571767e-102 1.25757484138e-101 2.71087983715e-102 1.47304769335e-102 6.5989366969e-87 1.97625631023e-102 1.24955459701e-101 3.06267553209e-102 8.3863299977e-102 1.95580304216e-102 1e-101 6.66659090816e-102 4.55436196501e-102 5.80615147534e-102 1.21793067108e-102 2.75009887289e-102 4.66555119195e-102 1.3593482102e-102 3.2780603635e-102
virtue 4.36109629565e-102 7.1327640461e-102 1.78037715299e-102 1.25e-101 6.74416047574e-103 5.22399202559e-102 6.66666666724e-102 6.68150173975e-102 7.16129326415e-102 9.82524598431e-102 5.55555555556e-102 2.98074835858e-102 5.30527508855e-102 8.34156710353e-102 5.04741489423e-102 1.03176069821e-102 2.5e-101 3.13173819395e-102 1.04290006394e-102 6.66666666667e-102 2.53150296644e-102 3.33339238522e-102 5.8823529583e-102 5.88235294118e-102 2.50691388626e-102 2.6310904165e-102 3.4484054678e-102 2.50159498653e-102 6.24999998095e-102 3.57775973584e-102 4.78133695753e-102 2.47541330765e-102 1.91236476954e-102 4.96040809704e-102 3.02344821727e-102 5.13173739909e-102 6.25e-102 2.56374761976e-102 3.23003838828e-102 3.35589252566e-102 5.8824117057e-102 2.38470750414e-102 2.43466525777e-102 5.54947319676e-102 3.69972104218e-102 5.88099093619e-102 5.55555555556e-102 4.78690955141e-102 7.52061226378e-102 2.37349377408e-102 4.32480685797e-102 2.86066300945e-102 1e-101 4.72882404952e-102 5.31062191264e-102 2.36364684662e-102 3.70370346569e-102 2.71285597597e-102 3.125e-102 4.34809313336e-102 2.76378155913e-102 4.99697571767e-102 1.25757484138e-101 2.71087983715e-102 0.0147304769335 4.34372310964e-102 1.97625631023e-102 1.24955459701e-101 3.06267553209e-102 8.3863299977e-102 1.95580304216e-102 1e-101 6.66659090816e-102 4.55436196501e-102 5.80615147534e-102 1.21793067108e-102 2.75009887289e-102 4.66555119195e-102 1.3593482102e-102 3.2780603635e-102
voice 4.36109629565e-102 7.1327640461e-102 1.78037715299e-102 1.25e-101 6.74416047574e-103 5.22399202559e-102 6.66666666724e-102 3.31169535544e-101 7.16129326415e-102 9.82524598431e-102 5.55555555556e-102 2.98074835858e-102 5.30527508855e-102 8.34156710353e-102 5.04741489423e-102 1.03176069821e-102 2.5e-101 3.13173819395e-102 1.04290006394e-102 6.66666666667e-102 2.53150296644e-102 3.33339238522e-102 5.8823529583e-102 5.88235294118e-102 2.50691388626e-102 2.6310904165e-102 3.4484054678e-102 2.50159498653e-102 6.24999998095e-102 3.57775973584e-102 4.78133695753e-102 2.47541330765e-102 1.91236476954e-102 4.96040809704e-102 3.03026939459e-102 5.13173739909e-102 6.25e-102 2.56374761976e-102 3.23003838828e-102 3.35589252566e-102 5.8824117057e-102 2.38470750414e-102 2.43466525777e-102 0.0554947319676 3.69972104218e-102 5.88099093619e-102 5.55555555556e-102 4.78690955141e-102 7.52061226378e-102 2.37349377408e-102 4.32480685797e-102 2.86066300945e-102 1e-101 4.72882404952e-102 5.31062191264e-102 2.36364684662e-102 3.70370346569e-102 2.71285597597e-102 3.125e-102 4.34809313336e-102 2.76378155913e-102 4.99697571767e-102 1.25757484138e-101 2.71087983715e-102 1.47304769335e-102 4.34372310964e-102 1.97625631024e-102 1.24955459701e-101 3.06267553209e-102 8.3863299977e-102 1.95580304216e-102 1e-101 6.66659090816e-102 4.55436196501e-102 5.80615147534e-102 1.21793067108e-102 8.50590469361e-84 4.66555119195e-102 1.3593482102e-102 3.2780603635e-102
vow 4.36109629565e-102 7.1327640461e-102 1.78037715299e-102 1.25e-101 6.74416047574e-103 5.22399202559e-102 6.66666666724e-102 6.68150173975e-102 7.16129326415e-102 9.82524598431e-102 5.55555555556e-102 2.98074835858e-102 5.30527508855e-102 8.34156710353e-102 5.04741489423e-102 1.03176069821e-102 2.5e-101 3.13173819395e-102 1.04290006394e-102 6.66666666667e-102 2.53150296644e-102 3.33339238522e-102 5.8823529583e-102 5.88235294118e-102 2.50691388626e-102 2.6310904165e-102 3.4484054678e-102 2.50159498653e-102 6.24999998095e-102 3.57775973584e-102 4.78133695753e-102 2.47541330765e-102 1.91236476954e-102 4.96040809704e-102 3.02344821727e-102 5.13173739909e-102 6.25e-102 0.0256374761976 3.23003838828e-102 3.35589252566e-102 5.8824117057e-102 2.38470750414e-102 2.43466525777e-102 5.54947319676e-102 3.69972104218e-102 5.88099093619e-102 5.55555555556e-102 4.78690955141e-102 7.52061226378e-102 2.37349377408e-102 4.32480685797e-102 2.86066300945e-102 1e-101 4.72882404952e-102 5.31062191264e-102 2.36364684662e-102 3.70370346569e-102 2.71285597597e-102 3.125e-102 4.34809313336e-102 2.76378155913e-102 4.99697571767e-102 1.25757484138e-101 2.71087983715e-102 1.47304769335e-102 4.34372310964e-102 1.97625631023e-102 1.24955459701e-101 3.06267553209e-102 8.3863299977e-102 1.95580304216e-102 1e-101 6.66659090816e-102 4.55436196501e-102 5.80615147534e-102 1.21793067108e-102 2.75009887289e-102 4.66555119195e-102 1.3593482102e-102 3.2780603635e-102
vowed 4.36109629565e-102 7.1327640461e-102 1.78037715299e-102 1.25e-101 6.74416047574e-103 5.22399202559e-102 6.66666666724e-102 6.68150173975e-102 7.16129326415e-102 9.82524598431e-102 5.55555555556e-102 2.98074835858e-102 5.30527508855e-102 8.34156710353e-102 5.04741489423e-102 1.03176069821e-102 2.5e-101 3.13173819395e-102 1.04290006394e-102 6.66666666667e-102 2.53150296644e-102 3.33339238522e-102 5.8823529583e-102 5.88235294118e-102 2.50691388626e-102 2.6310904165e-102 3.4484054678e-102 2.50159498653e-102 6.24999998095e-102 3.57775973584e-102 4.78133695757e-102 2.47541330765e-102 1.91236476954e-102 4.96040809704e-102 3.02344821727e-102 5.13173739909e-102 6.25e-102 2.56374761976e-102 3.23003838828e-102 3.35589252566e-102 5.8824117057e-102 2.38470750414e-102 2.43466525777e-102 5.54947319676e-102 3.69972104218e-102 5.88099093619e-102 5.55555555556e-102 4.78690955141e-102 7.52061226378e-102 2.37349377408e-102 4.32480685797e-102 2.86066300945e-102 1e-101 4.72882404952e-102 5.31062191264e-102 2.36364684662e-102 3.70370346569e-102 2.71285597597e-102 3.125e-102 4.34809313336e-102 5.32368207182e-98 4.99697571767e-102 1.25757484138e-101 2.71087983715e-102 1.47304769335e-102 4.34372310964e-102 0.0197625631023 1.24955459701e-101 3.06267553209e-102 8.3863299977e-102 1.95580304216e-102 1e-101 6.66659090816e-102 4.55436196501e-102 5.80615147534e-102 1.21793067108e-102 2.75009887289e-102 4.66555119195e-102 1.3593482102e-102 3.2780603635e-102
wailing 4.36109629565e-102 7.1327640461e-102 1.78037715299e-102 1.25e-101 6.74416047574e-103 5.22399202559e-102 6.66666666724e-102 6.68150173975e-102 7.16129326415e-102 9.82524598431e-102 5.55555555556e-102 2.98074835858e-102 5.30527508855e-102 8.34156710353e-102 5.04741489423e-102 1.03176069821e-102 2.5e-101 3.13173819395e-102 1.04290006394e-102 6.66666666667e-102 2.53150296644e-102 3.33339238522e-102 5.8823529583e-102 5.88235294118e-102 2.50691388626e-102 2.6310904165e-102 3.4484054678e-102 2.50159498653e-102 6.24999998095e-102 3.57775973584e-102 4.78133695753e-102 2.47541330765e-102 1.91236476954e-102 4.96040809704e-102 3.02344821727e-102 5.13173739909e-102 6.25e-102 2.56374761976e-102 3.23003838828e-102 3.35589252566e-102 5.8824117057e-102 2.38470750414e-102 2.43466525777e-102 5.54947319676e-102 3.69972104218e-102 5.88099093619e-102 5.55555555556e-102 4.78690955141e-102 7.52061226378e-102 2.37349377408e-102 4.32480685797e-102 2.86066300945e-102 1e-101 4.72882404952e-102 5.31062191264e-102 2.36364684662e-102 3.70370346569e-102 2.71285597597e-102 3.125e-102 4.34809313336e-102 2.76378155913e-102 4.99697571767e-102 1.25757484138e-101 2.71087983715e-102 1.47304769335e-102 4.34372310964e-102 1.97625631023e-102 1.24955459701e-101 3.06267553209e-102 8.3863299977e-102 1.95580304216e-102 1e-101 6.66659090816e-102 4.55436196501e-102 5.80615147534e-102 0.0121793067108 2.75009887289e-102 4.66555119195e-102 1.3593482102e-102 3.2780603635e-102
