 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79
sicken 6.25e-102 2.7606095133e-102 3.84015630866e-102 1.11110893829e-101 9.97714897227e-102 3.84615384615e-102 7.69230769231e-102 2.22222222222e-102 7.14411693229e-102 3.12564155473e-102 6.12548701473e-102 4.54984179135e-102 2.74686794114e-102 1.41922248497e-102 5.56506589723e-102 5.87238314617e-102 3.69402569443e-102 6.07046055994e-102 3.84615125259e-102 2.17391304348e-102 4.34782608696e-102 4.9962599609e-102 3.39059346631e-102 1.66664496225e-101 3.125e-102 5.00205084686e-102 3.125e-102 2.91558657281e-102 3.46130453488e-102 3.57142857142e-102 2.49999999983e-101 4.37729701498e-102 4.37065306692e-102 1.92403732193e-102 7.02148710512e-102 5.26315789473e-102 6.25e-102 9.82590364289e-102 2.47117096905e-102 1e-101 3.12500000001e-102 3.11570178501e-102 7.68851042022e-102 1.47058823529e-102 4.54131637109e-102 3.4012126895e-102 3.41683907108e-102 2.04081632653e-102 2.89215428444e-102 5.10110619012e-102 3.01367529525e-102 6.25e-102 7.70964203942e-102 8.34495438092e-102 2.63157894785e-102 4.16666666667e-102 4.1316107099e-102 1.41833354754e-102 5.72304534919e-102 1.27387086317e-102 2.22222293779e-102 2.77669419803e-102 1.8883943131e-102 3.08976646038e-102 1.7140049851e-102 4.55414689383e-102 9.09839699456e-102 3.82431557304e-102 1.11111111111e-101 1.42857142857e-101 7.9284601709e-103 1.11920240062e-101 4.56246619797e-102 3.44804362811e-102 7.27921940912e-102 5e-102 7.13118926768e-102 4.34879400815e-102 1.42327213904e-102 0.0116046104796
sickly 6.25e-102 2.7606095133e-102 3.84015630866e-102 1.11110893829e-101 9.97714897227e-102 3.84615384615e-102 7.69230769231e-102 2.22222222222e-102 7.14411693229e-102 3.12564155473e-102 6.12548701473e-102 4.54984179135e-102 2.74686794114e-102 1.41922248497e-102 5.56506589723e-102 5.87238314617e-102 3.69402569443e-102 6.07046055994e-102 3.84615125259e-102 2.17391304348e-102 4.34782608696e-102 4.9962599609e-102 3.39059346631e-102 1.66664496225e-101 3.125e-102 5.00205084686e-102 3.125e-102 2.91558657281e-102 3.46130453488e-102 3.57142857142e-102 2.49999999983e-101 4.37729701498e-102 4.37065306692e-102 1.92403732193e-102 7.02148710512e-102 5.26315789473e-102 6.25e-102 9.82590364289e-102 2.47117096905e-102 1e-101 3.12500000001e-102 3.11570178501e-102 7.68851042022e-102 1.47058823529e-102 4.54131637109e-102 3.4012126895e-102 3.41683907108e-102 2.04081632653e-102 2.89215428444e-102 5.10110619012e-102 3.01367529525e-102 6.25e-102 7.70964203942e-102 8.34495438092e-102 2.63157894785e-102 4.16666666667e-102 4.1316107099e-102 1.41833354754e-102 5.72304534919e-102 1.27387086317e-102 2.22222293779e-102 2.77669419803e-102 0.018883943131 3.08976646038e-102 1.7140049851e-102 4.55414689383e-102 9.09839699456e-102 3.82431557304e-102 1.11111111111e-101 1.42857142857e-101 7.9284601709e-103 1.11920240062e-101 4.56246619797e-102 3.44804362811e-102 7.27921940912e-102 5e-102 7.13118926768e-102 4.34879400815e-102 1.42327213904e-102 1.16046104796e-102
sickness 6.25e-102 2.7606095133e-102 3.84015630866e-102 1.11110893829e-101 9.97714897227e-102 3.84615384615e-102 7.69230769231e-102 2.22222222222e-102 7.14411693229e-102 0.0312564155473 6.12548701473e-102 4.54984179135e-102 2.74686794114e-102 1.41922248497e-102 5.56506589723e-102 5.87238314617e-102 3.69402569443e-102 6.07046055994e-102 3.84615125259e-102 2.17391304348e-102 4.34782608696e-102 4.9962599609e-102 3.39059346631e-102 1.66664496225e-101 3.125e-102 5.00205084686e-102 3.125e-102 2.91558657281e-102 3.46130453488e-102 3.57142857142e-102 2.49999999983e-101 4.37729701498e-102 4.37065306692e-102 1.92403732193e-102 7.02148710512e-102 5.26315789473e-102 6.25e-102 9.82590364289e-102 2.47117096905e-102 1e-101 3.12500000001e-102 3.11570178501e-102 7.68851042022e-102 1.47058823529e-102 4.54131637109e-102 3.4012126895e-102 3.41683907108e-102 2.04081632653e-102 2.89215428444e-102 5.10110619012e-102 3.01367529525e-102 6.25e-102 7.70964203942e-102 8.34495438092e-102 2.63157894785e-102 4.16666666667e-102 4.1316107099e-102 1.41833354754e-102 5.72304534919e-102 1.27387086317e-102 2.22222293779e-102 2.77669419803e-102 1.8883943131e-102 3.08976646038e-102 1.7140049851e-102 4.55414689383e-102 9.09839699456e-102 3.82431557304e-102 1.11111111111e-101 1.42857142857e-101 7.9284601709e-103 1.11920240062e-101 4.56246619797e-102 3.44804362811e-102 7.27921940912e-102 5e-102 7.13118926768e-102 4.34879400815e-102 1.42327213904e-102 1.16046104796e-102
side 6.25e-102 2.7606095133e-102 3.84015630866e-102 1.11110893829e-101 9.97714897227e-102 3.84615384615e-102 7.69230769231e-102 2.22222222222e-102 7.14411693229e-102 3.12564155473e-102 6.12548701473e-102 4.54984179135e-102 2.74686794114e-102 1.41922248497e-102 5.56506589723e-102 5.87238314617e-102 3.69402569443e-102 6.07046055994e-102 3.84615125259e-102 2.17391304348e-102 4.34782608696e-102 4.9962599609e-102 3.39059346631e-102 1.66664496225e-101 3.125e-102 5.00205084686e-102 3.125e-102 2.91558657281e-102 3.46130453488e-102 3.57142857142e-102 2.49999999983e-101 4.37729701498e-102 4.37065306692e-102 1.92403732193e-102 7.02148710512e-102 5.26315789473e-102 6.25e-102 9.82590364289e-102 2.47117096905e-102 1e-101 3.12500000001e-102 3.11570178501e-102 7.68851042022e-102 1.47058823529e-102 4.54131637109e-102 3.4012126895e-102 3.41683907108e-102 2.04081632653e-102 2.89215428444e-102 5.10110619012e-102 3.01367529525e-102 6.25e-102 7.70964203942e-102 3.95254223858e-78 2.63157894785e-102 4.16666666667e-102 4.1316107099e-102 1.41833354754e-102 5.72304534919e-102 1.27387086317e-102 2.22222293779e-102 2.77669419803e-102 1.8883943131e-102 3.08976646038e-102 1.7140049851e-102 4.55414689383e-102 9.09839699456e-102 3.82431557304e-102 1.11111111111e-101 1.42857142857e-101 7.9284601709e-103 1.11920240062e-101 4.56246619797e-102 0.0344804362811 7.27921940912e-102 5e-102 7.13118926768e-102 4.34879400815e-102 1.42327213904e-102 1.16046104796e-102
sighs 6.25e-102 2.7606095133e-102 3.84015630866e-102 1.11110893829e-101 9.97714897227e-102 3.84615384615e-102 7.69230769231e-102 2.22222222222e-102 7.14411693229e-102 3.12564155473e-102 6.12548701473e-102 4.54984179135e-102 0.0274686794114 1.41922248497e-102 5.56506589723e-102 5.87238314617e-102 3.69402569443e-102 6.07046055994e-102 3.84615125259e-102 2.17391304348e-102 4.34782608696e-102 4.9962599609e-102 3.39059346631e-102 1.66664496225e-101 3.125e-102 5.00205084686e-102 3.125e-102 2.91558657281e-102 3.46130453488e-102 3.57142857142e-102 2.49999999983e-101 4.37729701498e-102 4.37065306692e-102 1.92403732193e-102 7.02148710512e-102 5.26315789473e-102 6.25e-102 9.82590364289e-102 2.47117096905e-102 1e-101 3.12500000001e-102 3.11570178501e-102 7.68851042022e-102 1.47058823529e-102 4.54131637109e-102 3.4012126895e-102 3.41683907108e-102 2.04081632653e-102 2.89215428444e-102 5.10110619012e-102 3.01367529525e-102 6.25e-102 7.70964203942e-102 8.34495438092e-102 2.63157894785e-102 4.16666666667e-102 4.1316107099e-102 1.41833354754e-102 5.72304534919e-102 1.27387086317e-102 2.22222293779e-102 2.77669419803e-102 1.8883943131e-102 3.08976646038e-102 1.7140049851e-102 4.55414689383e-102 9.09839699456e-102 3.82431557304e-102 1.11111111111e-101 1.42857142857e-101 7.9284601709e-103 1.11920240062e-101 4.56246619797e-102 3.44804362811e-102 7.27921940912e-102 5e-102 7.13118926768e-102 4.34879400815e-102 1.42327213904e-102 1.16046104796e-102
sight 6.25e-102 2.7606095133e-102 3.84015630866e-102 1.11110893829e-101 9.97714897227e-102 0.0769230769231 7.69230769231e-102 2.22222222222e-102 7.14411693229e-102 3.12564155473e-102 6.12548701473e-102 4.54984179135e-102 2.74686794114e-102 1.41922248497e-102 5.56506589723e-102 5.87238314617e-102 3.69402569443e-102 6.07046055994e-102 3.84615125259e-102 2.17391304348e-102 4.34782608696e-102 4.9962599609e-102 3.39059346631e-102 3.36114435377e-77 3.125e-102 5.00205084686e-102 3.125e-102 2.91558657281e-102 3.46130453488e-102 3.57142857142e-102 2.49999999983e-101 4.37729701498e-102 4.37065306692e-102 0.0192403732193 7.02148710512e-102 5.26315789473e-102 6.25e-102 9.82590364289e-102 2.47117096905e-102 1e-101 3.12500000001e-102 3.11570178501e-102 7.68851042022e-102 1.47058823529e-102 0.0454131637109 3.4012126895e-102 3.41683907108e-102 2.04081632653e-102 2.89215428444e-102 5.10110619012e-102 3.01367529525e-102 6.25e-102 7.70964203942e-102 8.34495438092e-102 2.63157894785e-102 4.16666666667e-102 4.1316107099e-102 1.41833354754e-102 5.72304534919e-102 1.27387086317e-102 2.22222293779e-102 2.78222703309e-102 1.8883943131e-102 3.08976646038e-102 1.7140049851e-102 4.55414689383e-102 9.09839699456e-102 3.82431557304e-102 1.11111111111e-101 1.42857142857e-101 7.9284601709e-103 1.11920240062e-101 4.56246619797e-102 3.44804362811e-102 7.27921940912e-102 5e-102 7.13118926768e-102 4.34879400815e-102 1.42327213904e-102 1.16046104796e-102
silver 6.25e-102 2.7606095133e-102 3.84015630866e-102 1.11110893829e-101 9.97714897227e-102 3.84615384615e-102 7.69230769231e-102 2.22222222222e-102 7.14411693229e-102 3.12564155473e-102 6.12548701473e-102 4.54984179135e-102 2.74686794114e-102 1.41922248497e-102 5.56506589723e-102 5.87238314617e-102 3.69402569443e-102 6.07046055994e-102 3.84615125259e-102 2.17391304348e-102 4.34782608696e-102 4.9962599609e-102 3.39059346631e-102 1.66664496225e-101 3.125e-102 5.00205084686e-102 3.125e-102 2.91558657281e-102 3.46130453488e-102 3.57142857142e-102 2.49999999983e-101 4.37729701498e-102 4.37065306692e-102 1.92403732193e-102 7.02148710512e-102 5.26315789473e-102 6.25e-102 9.82590364289e-102 2.47117096905e-102 1e-101 3.12500000001e-102 3.11570178501e-102 1.5547654465e-12 1.47058823529e-102 4.54131637109e-102 3.4012126895e-102 3.41683907108e-102 2.04081632653e-102 2.89215428444e-102 5.10110619012e-102 0.0301367529519 6.25e-102 7.70964203942e-102 8.34495438092e-102 2.63157894785e-102 4.16666666667e-102 4.1316107099e-102 1.41833354754e-102 5.72304534919e-102 1.27387086317e-102 2.22222293779e-102 2.77669419803e-102 1.8883943131e-102 3.08976646038e-102 1.7140049851e-102 4.55414689383e-102 9.09839699456e-102 3.82431557304e-102 1.11111111111e-101 1.42857142857e-101 7.9284601709e-103 1.11920240062e-101 4.56246619797e-102 3.44804362811e-102 7.27921940912e-102 5e-102 7.13118926768e-102 4.34879400815e-102 1.42327213904e-102 1.16046104796e-102
silvered 6.25e-102 2.7606095133e-102 3.84015630866e-102 1.11110893829e-101 0.0997714897227 3.84615384615e-102 7.69230769231e-102 2.22222222222e-102 7.14411693229e-102 3.12564155473e-102 6.12548701473e-102 4.54984179135e-102 2.74686794114e-102 1.41922248497e-102 5.56506589723e-102 5.87238314617e-102 3.69402569443e-102 6.07046055994e-102 3.84615125259e-102 2.17391304348e-102 4.34782608696e-102 4.9962599609e-102 3.39059346631e-102 1.66664496225e-101 3.125e-102 5.00205084686e-102 3.125e-102 2.91558657281e-102 3.46130453488e-102 3.57142857142e-102 2.49999999983e-101 4.37729701498e-102 4.37065306692e-102 1.92403732193e-102 7.02148710512e-102 5.26315789473e-102 6.25e-102 9.82590364289e-102 2.47117096905e-102 1e-101 3.12500000001e-102 3.11570178501e-102 7.68851042022e-102 1.47058823529e-102 4.54131637109e-102 3.4012126895e-102 3.41683907108e-102 2.04081632653e-102 2.89215428444e-102 5.10110619012e-102 3.01367529525e-102 6.25e-102 7.70964203942e-102 8.34495438092e-102 2.63157894785e-102 4.16666666667e-102 4.1316107099e-102 1.41833354754e-102 5.72304534919e-102 1.27387086317e-102 2.22222293779e-102 2.77669419803e-102 1.8883943131e-102 3.08976646038e-102 1.7140049851e-102 4.55414689383e-102 9.09839699456e-102 3.82431557304e-102 1.11111111111e-101 1.42857142857e-101 7.9284601709e-103 1.11920240062e-101 4.56246619797e-102 3.44804362811e-102 7.27921940912e-102 5e-102 7.13118926768e-102 4.34879400815e-102 1.42327213904e-102 1.16046104796e-102
sin 6.25e-102 2.7606095133e-102 3.84015630866e-102 1.11110893829e-101 9.97714897227e-102 3.84615384615e-102 7.69230769231e-102 2.22222222222e-102 7.14411693229e-102 3.12564155473e-102 6.12548701473e-102 4.54984179135e-102 2.74686794114e-102 1.41922248497e-102 5.56506589723e-102 5.87238314617e-102 3.69402569443e-102 6.07046055994e-102 0.0384615125259 2.17391304348e-102 4.34782608696e-102 4.9962599609e-102 3.39059346631e-102 1.66664496225e-101 3.125e-102 5.00205084686e-102 3.125e-102 2.91558657281e-102 3.46130453488e-102 3.57142857142e-102 2.49999999983e-101 4.37729701498e-102 4.37065306692e-102 1.92403732193e-102 7.02148710512e-102 5.26315789473e-102 6.25e-102 9.82590364289e-102 2.47117096905e-102 1e-101 3.12500000001e-102 3.11570178501e-102 7.68851042022e-102 1.47058823529e-102 4.54131637109e-102 3.4012126895e-102 3.41683907108e-102 2.04081632653e-102 2.89215428444e-102 5.10110619012e-102 3.01367529525e-102 6.25e-102 7.70964203942e-102 8.34495438092e-102 2.63157894785e-102 4.16666666667e-102 4.1316107099e-102 1.41833354754e-102 5.72304534919e-102 1.27387086317e-102 2.22222293779e-102 2.77669419803e-102 1.8883943131e-102 3.08976646038e-102 1.7140049851e-102 4.55414689383e-102 9.09839699456e-102 3.82431557304e-102 1.11111111111e-101 1.42857142857e-101 7.9284601709e-103 1.11920240062e-101 4.56246619797e-102 3.44804362811e-102 7.27921940912e-102 5e-102 7.13118926768e-102 4.34879400815e-102 1.42327213904e-102 1.16046104796e-102
sinful 6.25e-102 2.7606095133e-102 3.84015630866e-102 1.11110893829e-101 9.97714897227e-102 3.84615384615e-102 7.69230769231e-102 2.22222222222e-102 7.14411693229e-102 3.12564155473e-102 6.12548701473e-102 4.54984179135e-102 2.74686794114e-102 1.41922248497e-102 5.56506589723e-102 5.87238314617e-102 3.69402569443e-102 0.0607046055994 3.84615125259e-102 2.17391304348e-102 4.34782608696e-102 4.9962599609e-102 3.39059346631e-102 1.66664496225e-101 3.125e-102 5.00205084686e-102 3.125e-102 2.91558657281e-102 3.46130453488e-102 3.57142857142e-102 2.49999999983e-101 4.37729701498e-102 4.37065306692e-102 1.92403732193e-102 7.02148710512e-102 5.26315789473e-102 6.25e-102 9.82590364289e-102 2.47117096905e-102 1e-101 3.12500000001e-102 3.11570178501e-102 7.68851042022e-102 1.47058823529e-102 4.54131637109e-102 3.4012126895e-102 3.41683907108e-102 2.04081632653e-102 2.89215428444e-102 5.10110619012e-102 3.01367529525e-102 6.25e-102 7.70964203942e-102 8.34495438092e-102 2.63157894785e-102 4.16666666667e-102 4.1316107099e-102 1.41833354754e-102 5.72304534919e-102 1.27387086317e-102 2.22222293779e-102 2.77669419803e-102 1.8883943131e-102 3.08976646038e-102 1.7140049851e-102 4.55414689383e-102 9.09839699456e-102 3.82431557304e-102 1.11111111111e-101 1.42857142857e-101 7.9284601709e-103 1.11920240062e-101 4.56246619797e-102 3.44804362811e-102 7.27921940912e-102 5e-102 7.13118926768e-102 4.34879400815e-102 0.0142327213904 1.16046104796e-102
single 6.25e-102 2.7606095133e-102 3.84015630866e-102 1.11110893829e-101 9.97714897227e-102 3.84615384615e-102 7.69230769231e-102 2.22222222222e-102 7.14411693229e-102 3.12564155473e-102 6.12548701473e-102 4.54984179135e-102 2.74686794114e-102 1.41922248497e-102 5.56506589723e-102 5.87238314617e-102 3.69402569443e-102 6.07046055994e-102 3.84615125259e-102 0.0217391304348 4.34782608696e-102 4.9962599609e-102 3.39059346631e-102 1.66664496225e-101 3.125e-102 5.00205084686e-102 3.125e-102 2.91558657281e-102 3.46130453488e-102 3.57142857142e-102 2.49999999983e-101 4.37729701498e-102 4.37065306692e-102 1.92403732193e-102 7.02148710512e-102 5.26315789473e-102 6.25e-102 9.82590364289e-102 2.47117096905e-102 1e-101 3.12500000001e-102 3.11570178501e-102 7.68851042022e-102 1.47058823529e-102 4.54131637109e-102 3.4012126895e-102 3.41683907108e-102 2.04081632653e-102 2.89215428444e-102 5.10110619012e-102 3.01367529525e-102 6.25e-102 7.70964203942e-102 8.34495438092e-102 2.63157894785e-102 4.16666666667e-102 4.1316107099e-102 1.41833354754e-102 5.72304534919e-102 1.27387086317e-102 2.22222293779e-102 2.77669419803e-102 1.8883943131e-102 3.08976646038e-102 1.7140049851e-102 4.55414689383e-102 9.09839699456e-102 3.82431557304e-102 1.11111111111e-101 1.42857142857e-101 7.9284601709e-103 1.11920240062e-101 4.56246619797e-102 3.44804362811e-102 7.27921940912e-102 5e-102 7.13118926768e-102 4.34879400815e-102 1.42327213904e-102 1.16046104796e-102
sins 6.25e-102 2.7606095133e-102 3.84015630866e-102 1.11110893829e-101 9.97714897227e-102 3.84615384615e-102 7.69230769231e-102 2.22222222222e-102 7.14411693229e-102 3.12564155473e-102 6.12548701473e-102 4.54984179135e-102 2.74686794114e-102 1.41922248497e-102 5.56506589723e-102 5.87238314617e-102 3.69402569443e-102 6.07046055994e-102 3.84615125259e-102 2.17391304348e-102 0.0434782608696 4.9962599609e-102 3.39059346631e-102 1.66664496225e-101 3.125e-102 5.00205084686e-102 3.125e-102 2.91558657281e-102 3.46130453488e-102 3.57142857142e-102 2.49999999983e-101 4.37729701498e-102 4.37065306692e-102 1.92403732193e-102 7.02148710512e-102 5.26315789473e-102 6.25e-102 9.82590364289e-102 2.47117096905e-102 1e-101 3.12500000001e-102 3.11570178501e-102 7.68851042022e-102 1.47058823529e-102 4.54131637109e-102 3.4012126895e-102 3.41683907108e-102 2.04081632653e-102 2.89215428444e-102 5.10110619012e-102 3.01367529525e-102 6.25e-102 7.70964203942e-102 8.34495438092e-102 2.63157894785e-102 4.16666666667e-102 4.1316107099e-102 1.41833354754e-102 5.72304534919e-102 1.27387086317e-102 2.22222293779e-102 2.77669419803e-102 1.8883943131e-102 3.08976646038e-102 1.7140049851e-102 4.55414689383e-102 9.09839699456e-102 3.82431557304e-102 1.11111111111e-101 1.42857142857e-101 7.9284601709e-103 1.11920240062e-101 4.56246619797e-102 3.44804362811e-102 7.27921940912e-102 5e-102 7.13118926768e-102 4.34879400815e-102 1.42327213904e-102 1.16046104796e-102
slandered 6.25e-102 2.7606095133e-102 3.84015630866e-102 1.11110893829e-101 9.97714897227e-102 3.84615384615e-102 7.69230769231e-102 2.22222222222e-102 7.14411693229e-102 3.12564155473e-102 6.12548701473e-102 4.54984179135e-102 2.74686794114e-102 1.41922248497e-102 5.56506589723e-102 6.02509611081e-102 3.69402569443e-102 6.07046055994e-102 3.84615125259e-102 2.17391304348e-102 4.34782608696e-102 4.9962599609e-102 3.39059346631e-102 1.66664496225e-101 3.125e-102 5.00205084686e-102 3.125e-102 2.91558657281e-102 3.46130453488e-102 3.57142857142e-102 2.49999999983e-101 4.37729701498e-102 4.37065306692e-102 1.92403732193e-102 7.02148710512e-102 5.34453332529e-102 6.25e-102 9.82590364289e-102 2.47117096905e-102 1e-101 3.12500000001e-102 3.11570178501e-102 7.68851042022e-102 1.47058823529e-102 4.54131637109e-102 3.4012126895e-102 3.41683907108e-102 2.04081632653e-102 2.89215428444e-102 0.0510110619012 3.01367529525e-102 6.25e-102 7.70964203942e-102 8.34495438092e-102 2.63157894785e-102 4.16666666667e-102 4.1316107099e-102 1.41833354754e-102 5.72304534919e-102 1.27469041731e-102 2.22222293779e-102 2.77669419803e-102 1.8883943131e-102 3.09578615199e-102 1.7140049851e-102 4.55414689383e-102 9.09839699456e-102 3.82431557304e-102 1.11111111111e-101 1.42857142857e-101 7.9284601709e-103 1.11920240062e-101 4.56246619797e-102 3.44804362811e-102 7.27921940912e-102 5e-102 7.13118926768e-102 4.34879400815e-102 1.42327213904e-102 1.16046104796e-102
slanders 6.25e-102 2.7606095133e-102 3.84015630866e-102 1.11110893829e-101 9.97714897227e-102 3.84615384615e-102 7.69230769231e-102 2.22222222222e-102 7.14411693229e-102 3.12564155473e-102 6.12548701473e-102 4.54984179135e-102 2.74686794114e-102 1.41922248497e-102 5.56506589723e-102 5.87238314617e-102 3.69402569443e-102 6.07046055994e-102 3.84615125259e-102 2.17391304348e-102 4.34782608696e-102 4.9962599609e-102 3.39059346631e-102 1.66664496225e-101 3.125e-102 5.00205084686e-102 3.125e-102 2.91558657281e-102 3.46130453488e-102 3.57142857142e-102 2.49999999983e-101 4.37729701498e-102 4.37065306692e-102 1.92403732193e-102 7.02148710512e-102 5.26315789473e-102 6.25e-102 9.82590364289e-102 2.47117096905e-102 1e-101 3.12500000001e-102 3.11570178501e-102 7.68851042022e-102 1.47058823529e-102 4.54131637109e-102 3.4012126895e-102 3.41683907108e-102 2.04081632653e-102 2.89215428444e-102 5.10110619012e-102 3.01367529525e-102 6.25e-102 7.70964203942e-102 8.34495438092e-102 2.63157894785e-102 4.16666666667e-102 4.1316107099e-102 1.41833354754e-102 5.72304534919e-102 1.27387086317e-102 2.22222293779e-102 2.77669419803e-102 1.8883943131e-102 3.08976646038e-102 1.7140049851e-102 4.55414689383e-102 9.09839699456e-102 3.82431557304e-102 1.11111111111e-101 1.42857142857e-101 7.9284601709e-103 1.11920240062e-101 4.56246619797e-102 3.44804362811e-102 7.27921940912e-102 5e-102 7.13118926768e-102 4.34879400815e-102 0.0142327213904 1.16046104796e-102
slave 6.25e-102 2.7606095133e-102 3.84015630866e-102 1.11110893829e-101 9.97714897227e-102 3.84615384615e-102 7.69230769231e-102 2.22222222222e-102 7.14411693229e-102 3.12564155473e-102 6.12548701473e-102 4.54984179135e-102 2.74686794114e-102 1.41922248497e-102 5.56506589723e-102 5.87238314617e-102 3.69402569443e-102 6.07046055994e-102 3.84615125259e-102 2.17391304348e-102 4.34782608696e-102 0.049962599609 3.39059346631e-102 1.66664496225e-101 3.125e-102 5.00205084686e-102 3.125e-102 2.96792683787e-102 3.46130453488e-102 3.57142857142e-102 2.49999999983e-101 4.37729701498e-102 4.37065306692e-102 1.92403732193e-102 7.02148710512e-102 5.26315789473e-102 6.25e-102 9.82590364289e-102 2.47117096905e-102 1e-101 3.12500000001e-102 3.11570178501e-102 7.68851042022e-102 1.47058823529e-102 4.54131637109e-102 3.4012126895e-102 3.41683907108e-102 2.04081632653e-102 2.89215428444e-102 5.10110619012e-102 3.01367529525e-102 6.25e-102 7.70964203942e-102 8.34495438092e-102 2.63157894785e-102 4.16666666667e-102 4.1316107099e-102 1.41833354754e-102 5.72304534919e-102 1.27387086317e-102 2.22222293779e-102 2.77669419803e-102 1.8883943131e-102 3.08976646038e-102 1.7140049851e-102 4.55414689383e-102 9.09839699456e-102 3.82431557304e-102 1.11111111111e-101 1.42857142857e-101 7.9284601709e-103 1.11920240062e-101 4.56246619797e-102 3.44804362811e-102 7.27921940912e-102 5e-102 7.13118926768e-102 4.34879400815e-102 1.42327213904e-102 0.0116046104796
slavery 6.25e-102 2.7606095133e-102 3.84015630866e-102 1.11110893829e-101 9.97714897227e-102 3.84615384615e-102 7.69230769231e-102 2.22222222222e-102 7.14411693229e-102 3.12564155473e-102 6.12548701473e-102 4.54984179135e-102 2.74686794114e-102 1.41922248497e-102 5.56506589723e-102 5.87238314617e-102 3.69402569443e-102 6.07046055994e-102 3.84615125259e-102 2.17391304348e-102 4.34782608696e-102 4.9962599609e-102 3.39059346631e-102 1.66664496225e-101 3.125e-102 5.00205084686e-102 3.125e-102 2.91558657281e-102 3.46130453488e-102 3.57142857142e-102 2.49999999983e-101 4.37729701498e-102 4.37065306692e-102 1.92403732193e-102 7.02148710512e-102 5.26315789473e-102 6.25e-102 9.82590364289e-102 2.47117096905e-102 1e-101 3.12500000001e-102 3.11570178501e-102 7.68851042022e-102 1.47058823529e-102 4.54131637109e-102 3.4012126895e-102 3.41683907108e-102 2.04081632653e-102 2.89215428444e-102 5.10110619012e-102 3.01367529525e-102 6.25e-102 7.70964203942e-102 8.10142156801e-76 2.63157894785e-102 4.16666666667e-102 4.1316107099e-102 1.41833354754e-102 5.72304534919e-102 1.27387086317e-102 2.22222293779e-102 2.77669419803e-102 1.8883943131e-102 3.08976646038e-102 1.7140049851e-102 4.55414689383e-102 9.09839699456e-102 3.82431557304e-102 1.11111111111e-101 1.42857142857e-101 7.9284601709e-103 1.11920240062e-101 4.56246619797e-102 0.0344804362811 7.27921940912e-102 5e-102 7.13118926768e-102 4.34879400815e-102 1.42327213904e-102 1.16046104796e-102
slay 6.25e-102 2.7606095133e-102 3.84015630866e-102 1.11110893829e-101 9.97714897227e-102 3.84615384615e-102 7.69230769231e-102 2.22222222222e-102 7.14411693229e-102 3.12564155473e-102 6.12548701473e-102 4.54984179135e-102 2.74686794114e-102 1.41922248497e-102 5.56506589723e-102 5.87238314617e-102 3.69402569443e-102 6.07046055994e-102 3.84615125259e-102 2.17391304348e-102 4.34782608696e-102 4.9962599609e-102 3.39059346631e-102 1.66664496225e-101 3.125e-102 5.00205084686e-102 3.125e-102 0.0291558657281 3.46130453488e-102 3.57142857142e-102 2.49999999983e-101 4.37729701498e-102 4.37065306692e-102 1.92403732193e-102 7.02148710512e-102 5.26315789473e-102 6.25e-102 9.82590364289e-102 2.47117096905e-102 1e-101 3.12500000001e-102 3.11728765166e-102 7.68851042022e-102 1.47058823529e-102 4.54131637109e-102 3.4012126895e-102 3.41683907108e-102 2.04081632653e-102 2.89215428444e-102 5.10110619012e-102 3.01367529525e-102 6.25e-102 7.70964203942e-102 8.34495438092e-102 2.63157894785e-102 4.16666666667e-102 4.1316107099e-102 1.41833354754e-102 5.72304534919e-102 1.27387086317e-102 2.22222293779e-102 2.77669419803e-102 1.8883943131e-102 3.08976646038e-102 1.7140049851e-102 4.55414689383e-102 9.09839699456e-102 3.82431557304e-102 1.11111111111e-101 1.42857142857e-101 7.9284601709e-103 1.11920240062e-101 4.56246619797e-102 3.44804362811e-102 7.27921940912e-102 5e-102 7.13118926768e-102 4.34879400815e-102 1.42327213904e-102 1.16046104796e-102
