 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39
added 8.18406514739e-103 1.12359550562e-102 9.51896542578e-103 1.16342175527e-102 1.28205128226e-102 2.73825969188e-102 3.43515572088e-102 3.13432401729e-102 3.56541453629e-102 2.43774274984e-102 1.7422908573e-102 1.46992089805e-102 1.65260482856e-102 4.16666666667e-102 3.0303030303e-102 2.04997325033e-102 6.92211162414e-103 1.81465668554e-102 5.81175902868e-102 5.30661364903e-102 2.3083386898e-102 1.73722129371e-102 4.03411814769e-102 1.59885104768e-102 6.51817824241e-103 1.71025051765e-102 1.4025650555e-102 5.08167390953e-102 1.44508361341e-102 2.94117647059e-102 1.65986813911e-102 1.23821925436e-102 2.32491282554e-102 0.00624603073432 2.00354686892e-102 2.5822154525e-102 7.90752672781e-102 2.03752117179e-102 1.40679973297e-102 1.92271050109e-102
adjunct 8.18406514739e-103 1.12359550562e-102 9.51896542578e-103 0.0116342175527 1.28205128226e-102 2.73825969188e-102 3.43515572088e-102 3.13432401729e-102 3.56541453629e-102 2.43774274984e-102 1.7422908573e-102 1.46992089805e-102 1.65260482856e-102 4.16666666667e-102 3.0303030303e-102 2.04997325033e-102 6.92211162414e-103 1.81465668554e-102 5.81175902868e-102 5.30661364903e-102 2.3083386898e-102 1.73722129371e-102 4.03411814769e-102 1.59885104768e-102 6.51817824241e-103 1.71025051765e-102 1.4025650555e-102 5.08167390953e-102 1.44508361341e-102 2.94117647059e-102 1.65986813911e-102 1.23821925436e-102 2.32491282554e-102 6.24603073432e-103 2.00354686892e-102 2.5822154525e-102 7.90752672781e-102 2.03752117179e-102 1.40679973297e-102 1.92271050109e-102
admire 8.18406514739e-103 0.0112359550562 9.51896542578e-103 1.16342175527e-102 1.28205128226e-102 2.73825969188e-102 3.43515572088e-102 3.13432401729e-102 3.56541453629e-102 2.43774274984e-102 1.7422908573e-102 1.46992089805e-102 1.65260482856e-102 4.16666666667e-102 3.0303030303e-102 2.04997325033e-102 6.92211162414e-103 1.81465668554e-102 5.81175902868e-102 5.30661364903e-102 2.3083386898e-102 1.73722129371e-102 4.03411814769e-102 1.59885104768e-102 6.51817824241e-103 1.71025051765e-102 1.4025650555e-102 5.08167390953e-102 1.44508361341e-102 2.94117647059e-102 1.65986813911e-102 1.23821925436e-102 2.32491282554e-102 6.24603073432e-103 2.00354686892e-102 2.5822154525e-102 7.90752672781e-102 2.03752117179e-102 1.40679973297e-102 1.92271050109e-102
adonis 8.18406514739e-103 1.12359550562e-102 9.51896542578e-103 1.16342175527e-102 1.28205128226e-102 2.73825969188e-102 3.43515572088e-102 3.13432401729e-102 3.56541453629e-102 2.43774274984e-102 1.7422908573e-102 1.46992089805e-102 1.65260482856e-102 4.16666666667e-102 3.0303030303e-102 2.04997325033e-102 6.92211162414e-103 1.81465668554e-102 5.81175902868e-102 5.30661364903e-102 2.3083386898e-102 1.73722129371e-102 4.03411814769e-102 1.59885104768e-102 6.51817824241e-103 1.71025051765e-102 1.4025650555e-102 5.08167390953e-102 1.44508361341e-102 2.94117647059e-102 1.65986813911e-102 1.23821925436e-102 2.32491282554e-102 0.00624603073432 2.00354686892e-102 2.5822154525e-102 7.90752672781e-102 2.03752117179e-102 1.40679973297e-102 1.92271050109e-102
adore 8.18406514739e-103 1.12359550562e-102 9.51896542578e-103 1.16342175527e-102 1.28205128226e-102 2.73825969188e-102 3.43515572088e-102 3.13432401729e-102 3.56541453629e-102 2.43774274984e-102 1.7422908573e-102 4.49202940439e-90 0.0165260482856 4.16666666667e-102 3.0303030303e-102 2.04997325033e-102 6.92211162414e-103 1.81465668554e-102 5.81175902868e-102 5.30661364903e-102 2.3083386898e-102 1.73722129371e-102 4.03411814769e-102 1.59885104768e-102 6.51817824241e-103 1.71025051765e-102 1.4025650555e-102 5.08167390953e-102 1.44508361341e-102 2.94117647059e-102 1.65986813911e-102 1.23821925436e-102 2.32491282554e-102 6.24603073664e-103 2.00354686892e-102 2.58221552085e-102 7.90752672781e-102 2.03752117179e-102 1.40908752102e-102 1.92271050109e-102
adulterate 8.18406514739e-103 1.12359550562e-102 9.51896542578e-103 1.16342175527e-102 1.28205128226e-102 2.73825969188e-102 3.43515572088e-102 3.13432401729e-102 3.56541453629e-102 2.43774274984e-102 1.7422908573e-102 1.46992089805e-102 1.65260482856e-102 4.16666666667e-102 3.0303030303e-102 2.04997325033e-102 6.92211162414e-103 0.0181465668554 5.81175902868e-102 5.30661364903e-102 2.3083386898e-102 1.73722129371e-102 4.03411814769e-102 1.59885104768e-102 6.51817824241e-103 1.71025051765e-102 1.4025650555e-102 5.08167390953e-102 1.44508361341e-102 2.94117647059e-102 1.65986813911e-102 1.23821925436e-102 2.32491282554e-102 6.24603073432e-103 2.00354686892e-102 2.5822154525e-102 7.90752672781e-102 2.03752117179e-102 1.40679973297e-102 1.92271050109e-102
affords 8.18406514739e-103 1.12359550562e-102 9.51896542578e-103 1.16342175527e-102 0.0128205128226 2.73825969188e-102 3.43515572088e-102 3.13432401729e-102 3.56541453629e-102 2.43774274984e-102 1.7422908573e-102 1.46992089805e-102 1.65260482856e-102 4.16666666667e-102 3.0303030303e-102 2.04997325033e-102 6.92211162414e-103 1.81465668554e-102 5.81175902868e-102 5.30661364903e-102 2.3083386898e-102 1.73722129371e-102 4.03411814769e-102 1.59885104768e-102 6.51817824241e-103 1.71025051765e-102 1.4025650555e-102 5.08167390953e-102 1.44508361341e-102 2.94117647059e-102 1.65986813911e-102 1.23821925436e-102 2.32491282554e-102 6.24603073432e-103 2.00354686892e-102 2.5822154525e-102 7.90752672781e-102 2.03752117179e-102 1.40679973297e-102 1.92271050109e-102
afresh 8.18406514739e-103 1.12359550562e-102 9.51896542578e-103 1.16342175527e-102 1.28205128226e-102 2.73825969188e-102 3.43515572088e-102 3.13432401729e-102 3.56541453629e-102 2.43774274984e-102 1.7422908573e-102 1.46992089805e-102 1.65260482856e-102 4.16666666667e-102 3.0303030303e-102 2.04997325033e-102 6.92211162414e-103 1.81465668554e-102 5.81175902868e-102 5.30661364903e-102 2.3083386898e-102 1.73722129371e-102 4.03411814769e-102 0.0159885104768 6.51817824241e-103 1.71025051765e-102 1.4025650555e-102 5.08167390953e-102 1.44508361341e-102 2.94117647059e-102 1.65986813911e-102 1.23821925436e-102 2.32491282554e-102 6.24603073432e-103 2.00354686892e-102 2.5822154525e-102 7.90752672781e-102 2.03752117179e-102 1.40679973297e-102 5.81321824262e-96
after 8.18406514739e-103 1.12359550562e-102 9.51896542578e-103 1.16342175527e-102 1.28205128226e-102 2.73825969188e-102 3.43515572088e-102 3.13432401729e-102 3.56541453629e-102 2.43774274984e-102 1.7422908573e-102 1.46992089805e-102 1.65260482856e-102 4.16666666667e-102 3.0303030303e-102 2.04997325033e-102 6.92211162414e-103 1.81465668554e-102 5.81175902868e-102 5.30661364903e-102 2.3083386898e-102 1.73722129371e-102 4.03411814769e-102 1.59885104768e-102 6.51817824241e-103 1.71025051765e-102 1.4025650555e-102 5.08167390953e-102 1.44508361341e-102 2.94117647059e-102 1.65986813911e-102 0.0123821925436 2.32491282554e-102 6.24603073432e-103 2.00354686892e-102 2.5822154525e-102 7.90752672781e-102 2.03752117179e-102 1.40810811118e-102 1.92271050109e-102
again 8.18406514739e-103 1.12359550562e-102 9.51896542578e-103 1.16342175527e-102 1.28205128226e-102 2.73825969188e-102 3.43515572899e-102 3.13432401729e-102 3.56541453629e-102 2.43774274984e-102 1.02287911983e-96 1.46992089805e-102 1.65260482856e-102 4.16666666667e-102 3.0303030303e-102 2.04997325033e-102 6.92211162414e-103 1.81465668554e-102 5.81175902868e-102 5.30661364903e-102 2.3083386898e-102 1.73722129371e-102 0.0702017628915 1.59885104768e-102 6.51817824241e-103 1.71025051765e-102 1.4025650555e-102 5.08167390953e-102 1.44508361341e-102 2.94117647059e-102 0.00431232142577 1.23821925436e-102 2.32491282554e-102 6.24603073432e-103 2.00354686892e-102 2.5822154525e-102 7.90752672781e-102 2.03752117179e-102 8.13532002533e-72 1.92271050109e-102
against 8.18406514739e-103 1.12359550562e-102 9.51896542578e-103 1.16342175527e-102 1.28205128226e-102 2.73825969188e-102 3.43515572088e-102 3.13432401729e-102 3.56541453629e-102 2.43774274984e-102 1.7422908573e-102 1.46992089805e-102 1.65260482856e-102 4.16666666667e-102 3.0303030303e-102 2.04997325033e-102 0.00692211162414 1.81465668554e-102 5.81595038354e-102 5.30661364903e-102 2.3083386898e-102 1.73722129371e-102 4.03411814769e-102 1.59885104768e-102 6.5613983269e-103 1.71025051765e-102 1.4025650555e-102 5.08167390953e-102 1.44508361341e-102 2.94117647059e-102 1.65986813911e-102 1.23821925436e-102 2.32491282554e-102 6.24603073432e-103 2.00354686892e-102 2.5822154525e-102 7.90752672781e-102 2.03752117179e-102 1.40679973297e-102 1.92271050109e-102
age 8.18406514739e-103 1.12359550562e-102 9.51896542578e-103 1.16342175527e-102 1.28205128226e-102 2.73825969188e-102 3.43515572088e-102 3.13432401729e-102 3.56541453629e-102 2.43774274984e-102 1.7422908573e-102 1.46992089805e-102 1.65260482856e-102 4.16666666667e-102 3.0303030303e-102 2.04997325033e-102 6.92211162414e-103 1.81465668554e-102 5.81175902868e-102 5.30661364903e-102 2.3083386898e-102 1.73722129371e-102 4.03411814769e-102 1.59885104768e-102 6.51817824241e-103 1.71025051765e-102 1.4025650555e-102 5.08167390953e-102 1.44508361341e-102 2.94117647059e-102 1.65986813911e-102 1.23821925436e-102 2.32491282554e-102 0.00624603073432 2.00354686892e-102 2.5822154525e-102 7.90752672781e-102 2.03752117179e-102 1.40679973297e-102 1.9229089421e-102
ages 8.18406514739e-103 1.12359550562e-102 9.51896542578e-103 1.16342175527e-102 1.28205128226e-102 2.73825969188e-102 3.43515572088e-102 3.13432401729e-102 3.56541453629e-102 2.43774274984e-102 1.7422908573e-102 1.46992089805e-102 1.65260482856e-102 4.16666666667e-102 3.0303030303e-102 2.04997325033e-102 6.92211162414e-103 1.81465668554e-102 5.81175902868e-102 5.30661364903e-102 2.3083386898e-102 1.73722129371e-102 4.03411814769e-102 1.59885104768e-102 6.51817824241e-103 1.71025051765e-102 1.4025650555e-102 5.08167390953e-102 1.44508361341e-102 2.94117647059e-102 1.65986813911e-102 1.23821925436e-102 2.32491282554e-102 6.24603073432e-103 2.00354686892e-102 2.58224610247e-102 7.90752672781e-102 0.0203752117179 1.40679973297e-102 1.92271050109e-102
